licenseNumber,businessName,city,state,candidateDomain,careerUrl,jobUrls,jobUrlCount,validJobPages,maxDescriptionWords,atsDetected,jobPostingDetected,auditStatus,auditReason
995321,180 ROOFING PROS,ESCONDIDO,CA,180solarpower.com,,,0,0,0,false,false,audit_error,Serper 400
1131393,1ST LIGHT SALES CORP,MANTECA,CA,dnb.com,,,0,0,0,false,false,audit_error,Serper 400
471898,A C & R SERVICE HEATING & COOLING INC,UKIAH,CA,ca.biznet-us.com,,,0,0,0,false,false,audit_error,Serper 400
950369,A F C PLUMBING AND SOLAR,CAMARILLO,CA,afcplumbingandsolar.com,,,0,0,0,false,false,audit_error,Serper 400
974115,A P ELECTRICAL,SUN VALLEY,CA,arcadiaca.gov,,,0,0,0,false,false,audit_error,Serper 400
1104438,A P P SOLAR,CARLSBAD,CA,repvise.app,,,0,0,0,false,false,audit_error,Serper 400
891743,A1 SUN INC,BERKELEY,CA,a1suninc.com,,,0,0,0,false,false,audit_error,Serper 400
887507,AAA STEINERS SOLAR SERVICE,SACRAMENTO,CA,steinersolar.com,,,0,0,0,false,false,audit_error,Serper 400
708922,AABCO WATER HEATERS & SOLAR SERVICES,LOS ALAMITOS,CA,homeyou.com,,,0,0,0,false,false,audit_error,Serper 400
914346,ABC SOLAR INCORPORATED,TORRANCE,CA,nextdoor.com,,,0,0,0,false,false,audit_error,Serper 400
933062,ABOVE ALL CONSTRUCTION INC,RIVERSIDE,CA,downtobid.com,,,0,0,0,false,false,audit_error,Serper 400
1021325,ABOVE ALL ROOFING & SEAMLESS GUTTERS INC,VACAVILLE,CA,aboveallroofingnorcal.com,,,0,0,0,false,false,audit_error,Serper 400
846462,ACE PLUMBING,FRESNO,CA,plumbingweb.com,,,0,0,0,false,false,audit_error,Serper 400
972276,ADDY SOLAR,REDDING,CA,addysolar.com,,,0,0,0,false,false,audit_error,Serper 400
929060,ADRIATIC BUILDERS LLC,HERCULES,CA,alamedaca.gov,,,0,0,0,false,false,audit_error,Serper 400
620243,ADVANCE SOLAR HYDRO WIND POWER INC,REDWOOD VALLEY,CA,advancepower.net,,,0,0,0,false,false,audit_error,Serper 400
508902,ADVANCED CONSERVATION SYSTEMS INC,LANCASTER,CA,advancedconservationsystems.com,,,0,0,0,false,false,audit_error,Serper 400
1009773,AETERNA ENERGY LLC,SIMI VALLEY,CA,energy.ca.gov,,,0,0,0,false,false,audit_error,Serper 400
957287,AHRENS MECHANICAL,SAN DIEGO,CA,web.agcsd.org,,,0,0,0,false,false,audit_error,Serper 400
1006946,AHSOLAR PRO SOLUTIONS,UNION CITY,CA,milpitas.gov,,,0,0,0,false,false,audit_error,Serper 400
1022669,AIC HEATING AND AIR,BAKERSFIELD,CA,contractorlicenseproof.com,,,0,0,0,false,false,audit_error,Serper 400
986427,AIKYUM SOLAR,WESTMINSTER,CA,aikyum.com,,,0,0,0,false,false,audit_error,Serper 400
916654,AIR HEAT SOLAR,SACRAMENTO,CA,homequotr.com,,,0,0,0,false,false,audit_error,Serper 400
842877,AIR RITE HEATING AND AIR CONDITIONING,ORLAND,CA,airrite.us,,,0,0,0,false,false,audit_error,Serper 400
885073,AIR SUN INC,VISALIA,CA,buildzoom.com,,,0,0,0,false,false,audit_error,Serper 400
889684,AIR TEMP COMPANY,SAN MATEO,CA,bestopedia.com,,,0,0,0,false,false,audit_error,Serper 400
878027,ALBION POWER COMPANY INC,SAN FRANCISCO,CA,albionpower.com,,,0,0,0,false,false,audit_error,Serper 400
559721,ALCOR ENTERPRISES,CONCORD,CA,buildzoom.com,,,0,0,0,false,false,audit_error,Serper 400
959972,ALL AIR HEATING & AIR CONDITIONING,LODI,CA,allairsolar.com,,,0,0,0,false,false,audit_error,Serper 400
840958,ALL AMERICAN PLUMBING HEATING & AIR INC,LOS BANOS,CA,allamericanpha.com,,,0,0,0,false,false,audit_error,Serper 400
962034,ALL BAY SOLAR CONSTRUCTION INC,SAN FRANCISCO,CA,zerofi.ai,,,0,0,0,false,false,audit_error,Serper 400
870111,ALL CLIMATE AIR INC,BAKERSFIELD,CA,allclimateair.com,,,0,0,0,false,false,audit_error,Serper 400
944973,ALL ON ELECTRIC INC,LIVERMORE,CA,selfgenca.com,,,0,0,0,false,false,audit_error,Serper 400
964957,ALL SOLAR,LONG BEACH,CA,solarsourceinc.com,,,0,0,0,false,false,audit_error,Serper 400
499720,ALL VALLEY SOLAR INC,N HOLLYWOOD,CA,bidroom.io,,,0,0,0,false,false,audit_error,Serper 400
775322,ALL-PRO ENTERPRISES INC,SAN DIMAS,CA,all-proent.com,,,0,0,0,false,false,audit_error,Serper 400
382383,ALLBRITTEN BAREFOOT PLUMBERS ELECTRICIANS & HVAC TECHNICIANS,FRESNO,CA,networx.com,,,0,0,0,false,false,audit_error,Serper 400
1100044,ALLIANZ HEATING & AIR INC,REDDING,CA,shastacounty.gov,,,0,0,0,false,false,audit_error,Serper 400
868542,ALLIED ENERGY INC,CARLSBAD,CA,alliedenergy-us.com,,,0,0,0,false,false,audit_error,Serper 400
713479,ALLTECH SOLAR INC,SAN DIEGO,CA,alltechsolarusa.com,,,0,0,0,false,false,audit_error,Serper 400
847973,ALLTERRA SOLAR,SANTA CRUZ,CA,allterrasolar.com,,,0,0,0,false,false,audit_error,Serper 400
806465,ALLY ELECTRIC,RICHMOND,CA,allyelectricandsolar.com,,,0,0,0,false,false,audit_error,Serper 400
1080653,ALOE SOLAR INC,CASTAIC,CA,zerofi.ai,,,0,0,0,false,false,audit_error,Serper 400
979146,ALTADENA ENERGY & SOLAR INC,PASADENA,CA,pwp.cityofpasadena.net,,,0,0,0,false,false,audit_error,Serper 400
632507,ALTERNATIVE ENERGY,SONORA,CA,findenergy.com,,,0,0,0,false,false,audit_error,Serper 400
853351,ALTERNATIVE ENERGY SYSTEMS INC,CHICO,CA,savingenergyforlife.com,,,0,0,0,false,false,audit_error,Serper 400
947007,ALTERNATIVE HEATING & AIR,CHICO,CA,alternativeheatingandair.com,,,0,0,0,false,false,audit_error,Serper 400
944549,ALTSYS SOLAR INC,TULARE,CA,altsyssolar.com,,,0,0,0,false,false,audit_error,Serper 400
863510,AMAZING AIRCONDITIONING INC,LOS ANGELES,CA,scribd.com,,,0,0,0,false,false,audit_error,Serper 400
987843,AMEKO A P S INC,POMONA,CA,selfgenca.com,,,0,0,0,false,false,audit_error,Serper 400
1081438,AMERICAN ENERGY SOLAR,VENTURA,CA,sntm-trk.aspgov.com,,,0,0,0,false,false,audit_error,Serper 400
1065297,AMN SOLAR CORP,CORONA,CA,amnsolarenergy.com,,,0,0,0,false,false,audit_error,Serper 400
1077258,ANTHEM CONSTRUCTION INC,CLOVIS,CA,anthemroofingandsolar.com,,,0,0,0,false,false,audit_error,Serper 400
1001659,ANTHEM MECHANICAL,COACHELLA,CA,buildzoom.com,,,0,0,0,false,false,audit_error,Serper 400
859901,APG SOLAR,ATWATER,CA,apgsolar.com,,,0,0,0,false,false,audit_error,Serper 400
