licenseNumber,businessName,businessType,address,city,state,zip,county,phone,issueDate,expirationDate,classifications,workersCompCoverageType,workersCompInsuranceCompany,workersCompPolicyExpiration,sourceFiles
995321,180 ROOFING PROS,Corporation,334 WEST 3RD AVE,ESCONDIDO,CA,92025,San Diego,(760) 264 4003,08/01/2014,08/31/2026,B | C10 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/29/2027,CSLBSearchData_163505900.xlsx
1131393,1ST LIGHT SALES CORP,Corporation,1869 MOFFAT BLVD,MANTECA,CA,95336,San Joaquin,(209) 456 5415,01/07/2025,01/31/2027,B | C10 | C46,Workers' Compensation Insurance,NATIONAL FIRE INSURANCE COMPANY OF HARTFORD,06/01/2027,CSLBSearchData_163505900.xlsx
471898,A C & R SERVICE HEATING & COOLING INC,Corporation,P O BOX 804,UKIAH,CA,95482,Mendocino,(707) 462 2021,04/05/1985,08/31/2027,C20 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,01/01/2027,CSLBSearchData_163444973.xlsx
950369,A F C PLUMBING AND SOLAR,Corporation,5407 WILLOW VIEW DR,CAMARILLO,CA,93012,Ventura,(805) 551 8618,07/23/2010,07/31/2028,C36 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/01/2027,CSLBSearchData_163547774.xlsx
974115,A P ELECTRICAL,Corporation,8484 SAN FERNANDO RD,SUN VALLEY,CA,91352,Los Angeles,(818) 317 8780,06/20/2012,06/30/2028,C10 | C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,10/19/2026,CSLBSearchData_163412289.xlsx
1104438,A P P SOLAR,Limited Liability,2374 PIO PICO DRIVE,CARLSBAD,CA,92008,San Diego,(760) 907 5009,05/06/2023,05/31/2027,C10 | C46,Workers' Compensation Insurance,CAROLINA CASUALTY INSURANCE COMPANY,01/23/2027,CSLBSearchData_163505900.xlsx
891743,A1 SUN INC,Corporation,675 CEDAR ST,BERKELEY,CA,94710,Alameda,(510) 526 5715,02/28/2007,02/28/2027,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,11/20/2026,CSLBSearchData_163342171.xlsx
887507,AAA STEINERS SOLAR SERVICE,Sole Owner,9900 FIRSTONE DRIVE,SACRAMENTO,CA,95829,Sacramento,(916) 681 5872,11/21/2006,11/30/2026,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,12/31/2026,CSLBSearchData_163505900.xlsx
708922,AABCO WATER HEATERS & SOLAR SERVICES,Corporation,P O BOX 1212,LOS ALAMITOS,CA,90720,Orange,(714) 891 2127,06/27/1995,09/30/2027,C36 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/27/2027,CSLBSearchData_163444973.xlsx
914346,ABC SOLAR INCORPORATED,Corporation,24454 HAWTHORNE BLVD,TORRANCE,CA,90505,Los Angeles,(310) 373 3169,04/19/2008,04/30/2028,B | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/25/2027,CSLBSearchData_163412289.xlsx
933062,ABOVE ALL CONSTRUCTION INC,Corporation,1643 ELLOITT DRIVE,RIVERSIDE,CA,92507,Riverside,(951) 742 7156,05/27/2009,12/31/2027,B | C10 | C39 | C46,Workers' Compensation Insurance,BERKSHIRE HATHAWAY HOMESTATE INSURANCE COMPANY,02/01/2027,CSLBSearchData_163505900.xlsx
1021325,ABOVE ALL ROOFING & SEAMLESS GUTTERS INC,Corporation,495 WILLAMETTE DR,VACAVILLE,CA,95688,Solano,(707) 446 8819,11/30/2016,11/30/2026,C39 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,10/01/2026,CSLBSearchData_163528025.xlsx
846462,ACE PLUMBING,Sole Owner,3865 E ASHLAN AVE,FRESNO,CA,93726,Fresno,(559) 392 2304,09/11/2004,09/30/2026,B | C20 | C36 | C46,Workers' Compensation Insurance,AMERICAN CASUALTY COMPANY OF READING PA,05/12/2027,CSLBSearchData_163342171.xlsx
972276,ADDY SOLAR,Corporation,8865 AIRPORT RD STE J,REDDING,CA,96002,Shasta,(530) 276 0231,04/20/2012,04/30/2027,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/16/2027,CSLBSearchData_163528025.xlsx
929060,ADRIATIC BUILDERS LLC,Limited Liability,142 POPPY DRIVE,HERCULES,CA,94547,Contra Costa,(510) 332 1377,02/23/2009,12/31/2027,B | C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,01/05/2027,CSLBSearchData_163342171.xlsx
620243,ADVANCE SOLAR HYDRO WIND POWER INC,Corporation,6331 N STATE STREET,REDWOOD VALLEY,CA,95470,Mendocino,(707) 485 0588,05/13/1991,10/31/2026,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,04/05/2027,CSLBSearchData_163444973.xlsx
508902,ADVANCED CONSERVATION SYSTEMS INC,Corporation,42622 7TH STREET E,LANCASTER,CA,93535,Los Angeles,(661) 945 4545,04/10/1987,04/30/2027,B | C-2 | C46,Workers' Compensation Insurance,SUNZ INSURANCE COMPANY,10/01/2026,CSLBSearchData_163412289.xlsx
906078,AE TECHNIC INC,Corporation,809 W HOLLYVALE ST,GLENDORA,CA,91740,Los Angeles,(213) 300 6051,11/05/2007,11/30/2027,A | B | C10 | C20 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,08/01/2026,CSLBSearchData_163412289.xlsx
1009773,AETERNA ENERGY LLC,Limited Liability,2645 NUTMEG CIRCLE,SIMI VALLEY,CA,93065,Ventura,(805) 823 3232,12/16/2015,12/31/2027,B | C-7 | C10 | C20 | C43 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,02/27/2027,CSLBSearchData_163547774.xlsx
957287,AHRENS MECHANICAL,Corporation,10975 SAN DIEGO MISSION RD,SAN DIEGO,CA,92108,San Diego,(619) 487 9036,02/02/2011,02/28/2027,A | B | C-4 | C10 | C16 | C20 | C34 | C36 | C46 | C60 | HAZ,Workers' Compensation Insurance,INSURANCE COMPANY OF THE WEST,07/01/2027,CSLBSearchData_163505900.xlsx
1006946,AHSOLAR PRO SOLUTIONS,Limited Liability,P O BOX 142,UNION CITY,CA,94587,Alameda,(510) 468 8535,08/28/2015,01/31/2027,C10 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,07/01/2027,CSLBSearchData_163342171.xlsx
1022669,AIC HEATING AND AIR,Corporation,P O BOX 998,BAKERSFIELD,CA,93302,Kern,(661) 695 6911,01/18/2017,09/30/2027,B | C10 | C20 | C46,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY,05/01/2027,CSLBSearchData_163412289.xlsx
986427,AIKYUM SOLAR,Corporation,7256 GARDEN GROVE BLVD,WESTMINSTER,CA,92683,Orange,(949) 705 6797,08/29/2013,08/31/2027,C10 | C46,Workers' Compensation Insurance,MIDWEST EMPLOYERS CASUALTY COMPANY,07/20/2027,CSLBSearchData_163444973.xlsx
916654,AIR HEAT SOLAR,Sole Owner,3430 J STREET UNIT C,SACRAMENTO,CA,95816,Sacramento,(916) 912 2277,06/03/2008,11/30/2026,C20 | C46,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND,06/06/2027,CSLBSearchData_163505900.xlsx
