"employer_id","employer_name","pattern","host","path_prefix","unique_urls","captures","first_seen","last_seen","score","aliases","accept","notes"
"engie","ENGIE","jobs.engie.com/jobs/*","jobs.engie.com","/jobs/","91","91","2020-07-11 00:19:57","2020-07-15 06:03:41","8","engie","yes","Validated historical ENGIE job-detail route. 91 distinct archived URLs; keep alongside the newer /job/ route."
"engie","ENGIE","jobs.engie.com/netherlands/jobs/*","jobs.engie.com","/netherlands/jobs/","55","55","2020-07-11 01:57:49","2020-07-15 06:04:03","8","engie","no","Valid ENGIE route but explicitly Netherlands; exclude from the US historical registry."
"engie","ENGIE","jobs.engie.com/belgium/jobs/*","jobs.engie.com","/belgium/jobs/","25","25","2020-07-11 00:55:06","2020-07-15 05:47:50","8","engie","no","Valid ENGIE route but explicitly Belgium; exclude from the US historical registry."
"engie","ENGIE","engie.taleo.net/*","engie.taleo.net","/","23","23","2020-07-12 18:00:32","2020-07-12 20:27:25","8","engie","yes","Validated historical ENGIE Taleo host; external historical job links corroborate ENGIE ownership. US filter still applies downstream."
"edp-renewables-na","EDP Renewables North America","jobs.smartrecruiters.com/ValtechNorthAmerica/*","jobs.smartrecruiters.com","/ValtechNorthAmerica/","15","15","2020-07-02 16:42:13","2020-07-15 13:09:11","8","northamerica","no","False attribution caused by the generic northamerica alias; belongs to Valtech North America, not EDP Renewables."
"acciona-energy","ACCIONA Energy","employmentchannel.acciona.com/vacancies/*","employmentchannel.acciona.com","/vacancies/","12","12","2020-07-05 22:08:40","2020-07-06 00:36:34","8","acciona","yes","Validated historical ACCIONA employment portal; archived/public references identify this as ACCIONA's vacancies channel."
"engie","ENGIE","jobs.engie.com/*","jobs.engie.com","/","10","10","2020-07-12 02:32:16","2020-07-15 06:04:24","8","engie","no","Too broad. The narrower /jobs/* and /job/* routes cover actual job-detail pages with less navigation/search noise."
"ameresco","Ameresco","careers-ameresco.icims.com/jobs/*","careers-ameresco.icims.com","/jobs/","7","7","2020-07-13 00:51:55","2020-07-13 02:54:24","7","ameresco","yes","Validated Ameresco iCIMS host; host ownership is corroborated and the /jobs/ path is job-specific."
"edp-renewables-na","EDP Renewables North America","careers.smartrecruiters.com/BlueScopeBuildingsNorthAmerica/*","careers.smartrecruiters.com","/BlueScopeBuildingsNorthAmerica/","4","4","2020-07-04 13:21:04","2020-07-12 23:20:52","7","northamerica","no","False attribution caused by the generic northamerica alias; belongs to BlueScope Buildings North America."
"engie","ENGIE","www.unelco.engie.com/*","www.unelco.engie.com","/","4","4","2020-07-13 00:55:46","2020-07-13 01:47:30","7","engie","no","ENGIE subsidiary site for UNELCO in Vanuatu/New Caledonia context; not useful for the US workforce corpus."
"acciona-energy","ACCIONA Energy","people.acciona.com/*","people.acciona.com","/","3","3","2020-07-10 17:00:26","2020-07-10 17:13:31","7","acciona","no","ACCIONA-owned people/editorial site, but too broad and not a job-detail source."
"canadian-solar","Canadian Solar","testsolar.canadiansolar.com/career/*","testsolar.canadiansolar.com","/career/","2","2","2020-07-05 02:54:53","2020-07-05 03:02:33","6","canadiansolar","no","First-party test/staging-looking host with only two captures; not accepted as a production job source."
"edp-renewables-na","EDP Renewables North America","brighthorizons.wd5.myworkdayjobs.com/*","brighthorizons.wd5.myworkdayjobs.com","/","2","2","2020-07-04 23:39:12","2020-07-05 01:38:34","6","northamerica","no","False attribution caused by the generic northamerica alias; Bright Horizons is unrelated to EDP Renewables."
"edp-renewables-na","EDP Renewables North America","jobs.smartrecruiters.com/BlueScopeBuildingsNorthAmerica/*","jobs.smartrecruiters.com","/BlueScopeBuildingsNorthAmerica/","2","2","2020-07-13 08:43:51","2020-07-13 08:44:31","6","northamerica","no","False attribution caused by the generic northamerica alias; belongs to BlueScope Buildings North America."
"acciona-energy","ACCIONA Energy","people.acciona.com/tag/job-search/*","people.acciona.com","/tag/job-search/","1","1","2020-07-10 17:13:17","2020-07-10 17:13:17","6","acciona","no","Editorial/tag page, not an ATS or job-detail source."
"acciona-energy","ACCIONA Energy","acciona.taleo.net/*","acciona.taleo.net","/","1","1","2020-07-02 08:08:44","2020-07-02 08:08:44","6","acciona","yes","Validated historical ACCIONA Taleo host; historical public references corroborate ACCIONA ownership."
"canadian-solar","Canadian Solar","www.canadiansolar.com/na/career/*","www.canadiansolar.com","/na/career/","1","1","2020-07-04 21:43:37","2020-07-04 21:43:37","6","canadiansolar","no","North America career landing page only in this crawl; no evidence here of job-detail URLs under this prefix."
"canadian-solar","Canadian Solar","www.canadiansolar.com/career/*","www.canadiansolar.com","/career/","1","1","2020-07-04 22:00:04","2020-07-04 22:00:04","6","canadiansolar","no","Career landing page only in this crawl; no evidence here of job-detail URLs under this prefix."
"canadian-solar","Canadian Solar","cn.canadiansolar.com/career/*","cn.canadiansolar.com","/career/","1","1","2020-07-15 23:25:00","2020-07-15 23:25:00","6","canadiansolar","no","China-specific career route; exclude from the US corpus."
"edp-renewables-na","EDP Renewables North America","jobs.jobvite.com/ktmnorthamericacareers/*","jobs.jobvite.com","/ktmnorthamericacareers/","1","1","2020-07-02 08:33:46","2020-07-02 08:33:46","6","northamerica","no","False attribution caused by the generic northamerica alias; belongs to KTM North America."
"edp-renewables-na","EDP Renewables North America","careers.smartrecruiters.com/INDEVCONorthAmerica/*","careers.smartrecruiters.com","/INDEVCONorthAmerica/","1","1","2020-07-09 02:51:06","2020-07-09 02:51:06","6","northamerica","no","False attribution caused by the generic northamerica alias; belongs to INDEVCO North America."
"engie","ENGIE","www.jobs.engie.com/jobs/*","www.jobs.engie.com","/jobs/","1","1","2020-07-13 10:44:49","2020-07-13 10:44:49","6","engie","yes","Validated historical ENGIE host alias with a job-detail route. Low-volume but safe to retain."
"engie","ENGIE","jobs.engie.com/younggraduates/jobs/*","jobs.engie.com","/younggraduates/jobs/","1","1","2020-07-12 03:23:23","2020-07-12 03:23:23","6","engie","no","Graduate-program route is global/non-US-specific and adds little beyond the accepted generic ENGIE job route."
"first-solar","First Solar","firstsolar.wd1.myworkdayjobs.com/en-US/FirstSolar/job/*","firstsolar.wd1.myworkdayjobs.com","/en-US/FirstSolar/job/","1","1","2020-07-04 15:20:41","2020-07-04 15:20:41","6","firstsolar","yes","Validated First Solar Workday job-detail route; historical public references corroborate the tenant."
