licenseNumber,businessName,cityStateZip,candidateDomain,careerUrl,jobUrls,jobUrlCount,validJobPages,maxDescriptionWords,atsDetected,jobPostingDetected,auditStatus,auditReason
0057007,"3 GUYS SOLAR, LLC",ORLANDO FL 32811,3guyssolar.com,,,0,0,0,false,false,audit_error,Homepage HTTP 403
0056771,"A1A SOLAR CONTRACTING, INC.",FERNANDINA BEACH FL 32034-2018,a1asolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1823607,"A1A SOLAR CONTRACTING, INC.",FERNANDINA BEACH FL 32034-2018,a1asolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0056849,"ABSOLUTE SOLAR, LLC",DELTONA FL 32738,absolutesolarnj.com,https://absolutesolarnj.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
1458514,"ADVANCE SOLAR & SPA, INC",POMPANO BEACH FL 33060,advancesolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0056664,"ADVANCE SOLAR & SPA, INC.",FORT MYERS FL 33907,advancesolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1817663,"ADVANCE SOLAR & SPA, INC.",POMPANO BEACH FL 33060,advancesolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1821642,AFFORDABLE SOLAR ROOF & AIR LLC,PEMBROKE PINES FL 33024,solarroofair.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1266423,AFFORDABLE SOLAR ROOF & AIR LLC,,solarroofair.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1336138,AFFORDABLE SOLAR ROOF & AIR LLC,ST. PETERSBURG FL 33705,solarroofair.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0057122,AFFORDABLE SOLAR SERVICES INC.,PALM BAY FL 32905,affordablesolarservices.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0057096,"ALL ABOUT SOLAR, INC.",FORT LAUDERDALE FL 33334,allaboutsolarinc.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0027546,ATLANTIC PLUMBING & SOLAR ENGINEERING INC,PALM BAY FL 32905,atlantic-plumbinginc.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0067065,ATLANTIC PLUMBING & SOLAR ENGINEERING INC,PALM BAY FL 32905,atlantic-plumbinginc.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0057004,BISON ROOFING & SOLAR LLC,FORT LAUDERDALE FL 33334,bisonroofingandsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0057273,BISON ROOFING & SOLAR LLC,SANFORD NC 27330,bisonroofingandsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1522748,BLUE RAVEN SOLAR,HOLLADAY COTTONWOOD UT 84117,blueravensolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1816841,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",ORLANDO FL 32804,bobheinmillersolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0056874,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",ORLANDO FL 32804,bobheinmillersolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0057299,BONE DRY SOLAR,INDIANAPOLIS IN 46268,bonedry.com,https://bonedry.com/careers/,,0,0,0,true,false,rejected_ats_detected,Known ATS domain or embed detected.
1533599,BRIGHTERWAY SOLAR LLC,PLANT CITY FL 33566,brighterwaysolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1456996,BROWARD SOLAR INC,N. PALM BEACH FL 33408,browardsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0056722,BROWARD SOLAR INC,N. PALM BEACH FL 33408,browardsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
0056742,"CKR SOLAR, LLC",DADE CITY FL 33526,ckrsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
1511520,"CKR SOLAR, LLC",DADE CITY FL 33526,ckrsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
