licenseNumber,businessName,cityStateZip,candidateDomain,matchedCompanyName,confidenceScore,status,error
0056949,3 D SOLAR LLC,,,,,no_domain_candidate,
0057007,"3 GUYS SOLAR, LLC",ORLANDO FL 32811,3guyssolar.com,"3 Guys Solar, LLC",99,candidate_found,
1334910,A.G.U. ROOFING & SOLAR LLC,WINTER GARDEN FL 34787,,,,no_domain_candidate,
0056771,"A1A SOLAR CONTRACTING, INC.",FERNANDINA BEACH FL 32034-2018,a1asolar.com,"A1A Solar Contracting, Inc",99,candidate_found,
1823607,"A1A SOLAR CONTRACTING, INC.",FERNANDINA BEACH FL 32034-2018,a1asolar.com,"A1A Solar Contracting, Inc",99,candidate_found,
0056849,"ABSOLUTE SOLAR, LLC",DELTONA FL 32738,absolutesolarnj.com,"Absolute Solar, LLC",99,candidate_found,
1458514,"ADVANCE SOLAR & SPA, INC",POMPANO BEACH FL 33060,advancesolar.com,Advance Solar & Spa,99,candidate_found,
0056664,"ADVANCE SOLAR & SPA, INC.",FORT MYERS FL 33907,advancesolar.com,Advance Solar & Spa,99,candidate_found,
1817663,"ADVANCE SOLAR & SPA, INC.",POMPANO BEACH FL 33060,advancesolar.com,Advance Solar & Spa,99,candidate_found,
1460367,AFFORDABLE SOLAR & POOL HEATING LLC,SARASOTA FL 34240,,,,no_domain_candidate,
1821642,AFFORDABLE SOLAR ROOF & AIR LLC,PEMBROKE PINES FL 33024,solarroofair.com,"Affordable Solar, Roof, & Air",99,candidate_found,
1266423,AFFORDABLE SOLAR ROOF & AIR LLC,,solarroofair.com,"Affordable Solar, Roof, & Air",99,candidate_found,
1336138,AFFORDABLE SOLAR ROOF & AIR LLC,ST. PETERSBURG FL 33705,solarroofair.com,"Affordable Solar, Roof, & Air",99,candidate_found,
0057122,AFFORDABLE SOLAR SERVICES INC.,PALM BAY FL 32905,affordablesolarservices.com,AFFORDABLE SOLAR SERVICES,99,candidate_found,
0057096,"ALL ABOUT SOLAR, INC.",FORT LAUDERDALE FL 33334,allaboutsolarinc.com,"All About Solar, Inc.",99,candidate_found,
0056981,AMD SOLAR,JACKSONVILLE FL 32211,,,,no_domain_candidate,
0056668,"AMERICAN SOLAR ENERGY SYSTEMS, INC",JACKSONVILLE FL 32258,,,,no_domain_candidate,
0057234,AMERICAN SOLAR INSTALLATION COMPANY LLC,HIALEAH FL 33018,,,,no_domain_candidate,
1336203,APEX SOLAR AND ROOFING LLC,DELRAY BEACH FL 33444,,,,no_domain_candidate,
0057241,"APPROVE SOLAR, LLC",HOLIDAY FL 34692,,,,no_domain_candidate,
0057119,ASP SOLAR CORP.,MIAMI FL 33175,,"ASP Solar Technologies, LLC.",99,ambiguous_match,
0057277,"ASPIRE SOLAR ENERGY, LLC",WESLEY CHAPEL FL 33544,,,,no_domain_candidate,
0027546,ATLANTIC PLUMBING & SOLAR ENGINEERING INC,PALM BAY FL 32905,atlantic-plumbinginc.com,Atlantic Plumbing & Solar Engineering,99,candidate_found,
0067065,ATLANTIC PLUMBING & SOLAR ENGINEERING INC,PALM BAY FL 32905,atlantic-plumbinginc.com,Atlantic Plumbing & Solar Engineering,99,candidate_found,
0057266,B.U.I.L.T. SOLAR LLC,PITTSBURGH PA 15205,,,,no_domain_candidate,
1814931,"B&G'S AIR CONDITIONING, ELECTRICAL & SOLAR, INC.",LAKELAND FL 33803,,,,no_domain_candidate,
282812097,BCM SOLAR,BOCA RATON FL 33487,,,,no_domain_candidate,
1428517,BEACON SOLAR ENERGY INC,SARASOTA FL 34238,,,,no_domain_candidate,
1331495,BEEGREEN SOLAR LLC,NEW PORT RICHEY FL 34652,,,,no_domain_candidate,
1334570,"BEST ROOFING & SOLAR, LLC",BONITA SPRINGS FL 34134,,America's Best Roofing & Solar,99,ambiguous_match,
0057040,BIG ORANGE SOLAR LLC,WEST PALM BEACH FL 33412,,,,no_domain_candidate,
1336282,BIG ORANGE SOLAR LLC,ORLANDO FL 32828,,,,no_domain_candidate,
0057094,"BILL FLANDERS SOLAR, INC.",GREEN COVE SPRINGS FL 32043,,,,no_domain_candidate,
0057004,BISON ROOFING & SOLAR LLC,FORT LAUDERDALE FL 33334,bisonroofingandsolar.com,Bison Roofing & Solar,99,candidate_found,
0057273,BISON ROOFING & SOLAR LLC,SANFORD NC 27330,bisonroofingandsolar.com,Bison Roofing & Solar,99,candidate_found,
1522748,BLUE RAVEN SOLAR,HOLLADAY COTTONWOOD UT 84117,blueravensolar.com,Blue Raven Solar,99,candidate_found,
1816841,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",ORLANDO FL 32804,bobheinmillersolar.com,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",99,candidate_found,
0056874,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",ORLANDO FL 32804,bobheinmillersolar.com,"BOB HEINMILLER SOLAR SOLUTIONS, LLC",99,candidate_found,
1331454,BOLD CITY ROOFING & SOLAR,FORT MC COY FL 32134,,,,no_domain_candidate,
0057299,BONE DRY SOLAR,INDIANAPOLIS IN 46268,bonedry.com,Bone Dry Solar,99,candidate_found,
1335752,BRAVO ZULU SOLAR LLC,SAINT GEORGE UT 84790,,,,no_domain_candidate,
1533599,BRIGHTERWAY SOLAR LLC,PLANT CITY FL 33566,brighterwaysolar.com,Brighterway Solar,99,candidate_found,
0056918,BRIGHTSIDE SOLAR ENERGY COMPANY LLC,GAINESVILLE FL 32605,,,,no_domain_candidate,
0056800,"BRIGHTSIDE SOLAR ENERGY COMPANY, LLC",GAINESVILLE FL 32605,,,,no_domain_candidate,
1456996,BROWARD SOLAR INC,N. PALM BEACH FL 33408,browardsolar.com,"BROWARD SOLAR, INC.",99,candidate_found,
