providerType,ccn,providerName,city,state,telephone,targetScore,braveQuery,candidateDomain,candidateUrl,candidateTitle,candidateDescription,discoveryStatus,discoveryError,nextStep,reviewedDomain,domainResultReuseCount,providerTokenMatchesInDomain,localReviewStatus,localReviewReason
nursing_home,025031,SOUTH PENINSULA HOSPITAL LTC,HOMER,AK,9072350235,85,"Find the official website of SOUTH PENINSULA HOSPITAL LTC, a healthcare provider in HOMER, AK. Exclude directories, reviews, government listings, job boards, and social media.",hospitalcaredata.com,https://hospitalcaredata.com/facility/south-peninsula-hospital-homer-ak-99603,"South Peninsula Hospital in Homer, AK 99603","# SOUTH PENINSULA HOSPITAL  
Critical Access Hospital in Homer, AK 99603
## SOUTH PENINSULA HOSPITAL PROFILE  
**South Peninsula Hospital** is a critical access hospital located in Homer, AK 99603 that serves the county area. This facility is a private non-profit hospital with emergency services.  
**SOUTH PENINSULA HOSPITAL**  
Homer, AK 99603  
Phone: (907) 235-8101  
[Website](http://www.sphosp.com/joomla2/home)  
[Get Directions](https://maps.google.com/?daddr=%3F4300%20Bartlett%20St%20Homer%2C%20AK%2099603)  
Patient Survey Summary Rating  
[The summary star rating combines data from different aspects of the patient’s experience of care to make hospital comparison easier.](#)  
*Summary Star Rating*  
The summary star rating combines data from different aspects of the patient’s experience of care to make hospital comparison easier.  
Good  
ABOUT THIS PROVIDER  
Hospital Type: Critical Access Hospitals  
[A critical access hospital is a small facility that provides outpatient and inpatient services on a limited basis, usually to people in rural areas.](#)  
*What's a critical access hospital?*  
A critical access hospital is a small facility that provides outpatient and inpatient services on a limited basis, usually to people in rural areas.  
Hospital Owner: Voluntary Non-profit - Private  
Emergency Services: Yes  
[This hospital provides emergency services which might include acute medical care or trauma care.](#)  
*Emergency Department*  
This hospital provides emergency services which might include acute medical care or trauma care.
This hospital provides emergency services which might include acute medical care or trauma care.  
The hospital patient survey at South Peninsula Hospital is administered to a random sample of adult inpatients after discharge. The following are the results of some the survey’s five-star quality ratings.  
Doctor Communication: Good  
Quiet Rooms: Good  
Cleanliness: Good  
Pain Management: Good  
Discharge Information: Excellent  
Patients Recommend this Hospital: Good  
These performance measures at South Peninsula Hospital show how rapidly emergency departments give recommended treatments known to get the best results for patients with certain common conditions. This information could help patients compare which hospitals provide the right care at the right time.  
ER Wait Time: Not Available before being seen by a doctor.  
Discharge Time: Not Available before being sent home.  
Time Before Admission: Not Available before being admitted to hospital.  
Transfer Time: Not Available admitted before being taken to room.  
Broken Bones: Not Available before receiving pain meds.  
We have identified the following individual quality measures where South Peninsula Hospital has better average ratings than other hospitals in Alaska or where the hospital is performing better compared to national averages or benchmarks.  
- Better performance for intestinal infections *Better performance for intestinal infections*",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,hospitalcaredata.com,5,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,015104,SOUTHLAND NURSING HOME,MARION,AL,3346836141,98,"Find the official website of SOUTHLAND NURSING HOME, a healthcare provider in MARION, AL. Exclude directories, reviews, government listings, job boards, and social media.",carechanges.com,https://www.carechanges.com/living-communities/southland-nursing-home_marion_alabama/,Southland Nursing Home in Alabama | Nursing Homes | Care Changes,"Southland Nursing Home, nestled in the charming town of Marion, Alabama, stands as a beacon of compassionate care and community spirit. This certified nursing facility accommodates 78 residents and has proudly been part of the Medicare program since February 19, 1970.
Southland Nursing Home is a Nursing Homes facility in Marion, Alabama. The nursing home places a strong emphasis on rehabilitation programs, which have earned praise for their effectiveness in enhancing residents' quality of life. These programs are meticulously designed to cater to various rehabilitation needs, ensuring that residents receive personalized care plans aimed at promoting recovery and independence.
Southland Nursing Home, nestled in the charming town of Marion, Alabama, stands as a beacon of compassionate care and community spirit. This certified nursing facility accommodates 78 residents and has proudly been part of the Medicare program since February 19, 1970.
Unique features of Southland Nursing Home include its strong focus on community integration and involvement. The facility often collaborates with local organizations and volunteers to host events and activities that bring the broader Marion community into the residents' lives. This approach not only enriches the living experience at Southland but also strengthens the bonds between residents and their community, creating a supportive and inclusive environment for all.
The dedicated team of nurses and healthcare professionals is described by residents and families alike as caring and attentive, creating a nurturing environment that significantly enriches the residents' experiences. The physical environment at Southland Nursing Home is generally lauded for its cleanliness—a critical component of patient care and comfort.",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,carechanges.com,111,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,045214,Hudson Memorial Nursing Home,EL DORADO,AR,8708638131,97,"Find the official website of Hudson Memorial Nursing Home, a healthcare provider in EL DORADO, AR. Exclude directories, reviews, government listings, job boards, and social media.",hudsonmemorialnursing.com,https://hudsonmemorialnursing.com/,Hudson Memorial Nursing Home El Dorado Arkansas,"Hudson Memorial Nursing Home in El Dorado, Arkansas provides skilled nursing care for Union County and surrounding areas. Our facility specializes in short-term rehabilitation and long-term care with a mission to provide our residents with the highest possible quality of care.
Hudson Memorial Nursing Home 700 North College Ave. El Dorado, AR 71730
In the 1950s, a group of Union County citizens led by Judge Frank Hudson and Louis Hurley began plans to build a nursing home to serve the needs of senior citizens in the area. A Board of Directors was appointed and given the task of building Hudson Memorial Nursing Home as well as negotiating with the Rosedale Mennonite Board to provide personnel to staff our home.
Julius Meek became the first resident admitted to our modern, 60-bed facility. In 1971, an addition was built with 50 beds, a new laundry room, a beauty shop, an activity room and a storage area. By January 2010, 50 years after our grand opening, Hudson Memorial Nursing Home served as a home for over 1,700 residents.
The nursing staff at Hudson Memorial Nursing Home are overly-courteous, respectful and maintain a high level of professionalism at all times.",candidate_found,,"Fetch this domain and audit careers pages: >=5 detailed job URLs with IDs, no ATS, no JobPosting.",hudsonmemorialnursing.com,1,hudson|memorial,plausible_official_domain,"Domain contains provider-specific token(s): hudson, memorial. Ownership still requires a page-level check."
nursing_home,035134,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,PAYSON,AZ,9284741120,96,"Find the official website of RIM COUNTRY HEALTH & RETIREMENT COMMUNITY, a healthcare provider in PAYSON, AZ. Exclude directories, reviews, government listings, job boards, and social media.",carechanges.com,https://www.carechanges.com/living-communities/rim-country-health-retirement-community_payson_arizona/,Rim Country Health & Retirement Community in Arizona | Nursing Homes | Care Changes,"Rim Country Health &amp; Retirement Community is a Nursing Homes facility in Payson, Arizona. The healthcare services at Rim Country Health include a range of therapy options such as speech, occupational, and physical therapy, which focus on ...
Rim Country Health & Retirement Community is a Nursing Homes facility in Payson, Arizona. The healthcare services at Rim Country Health include a range of therapy options such as speech, occupational, and physical therapy, which focus on personalized recovery and improvement plans tailored to each resident's needs.
Rim Country Health & Retirement Community, located in Payson, Arizona, provides a variety of senior care services, specializing primarily in skilled nursing and rehabilitation. The facility offers comprehensive care tailored to seniors' unique needs, aiming to balance independence with quality of life.
The healthcare services at Rim Country Health include a range of therapy options such as speech, occupational, and physical therapy, which focus on personalized recovery and improvement plans tailored to each resident's needs. These therapeutic services are designed to aid residents in regaining essential skills and improving their daily functioning.
I was in a bad car accident and had to have surgery. After surgery, I was transferred to a rehab facility in the valley that I was not at all happy with. After a week there, a friend recommended Rim County Health and Rehabilitation. The difference was NIGHT AND DAY!",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,carechanges.com,111,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,555521,Rancho Mesa Care Center,Alta Loma,CA,9099872501,99,"Find the official website of Rancho Mesa Care Center, a healthcare provider in Alta Loma, CA. Exclude directories, reviews, government listings, job boards, and social media.",carechanges.com,https://www.carechanges.com/living-communities/rancho-mesa-care-center_alta-loma_california/,Rancho Mesa Care Center in California | Nursing Homes | Care Changes,"Rancho Mesa Care Center is a Nursing Homes facility in Alta Loma, California. The services at Rancho Mesa Care Center extend beyond medical care to encompass a holistic approach to resident support. This includes comprehensive dialysis, hospice care, and dental care, along with offering practical ...
Rancho Mesa Care Center is a Nursing Homes facility in Alta Loma, California. The services at Rancho Mesa Care Center extend beyond medical care to encompass a holistic approach to resident support. This includes comprehensive dialysis, hospice care, and dental care, along with offering practical amenities like laundry and dry cleaning.
Rancho Mesa Care Center, situated in Alta Loma, CA, is a facility that provides comprehensive nursing home care designed to meet the medical and personal needs of its residents.
As a certified Medicare and Medicaid participant since July 14, 1992, Rancho Mesa Care Center offers a range of services aimed at enhancing the quality of life for those requiring long-term or rehabilitative care. This facility hosts 57 current occupants, focusing on patient-centered care to support various health needs. Its services include skilled nursing care, physical therapy, occupational therapy, and speech therapy, catering to individuals recovering from surgeries, injuries, or stroke.
Additionally, the center provides pain management, wound care, and specialized attention for memory care, vision, hearing, and podiatry challenges. The services at Rancho Mesa Care Center extend beyond medical care to encompass a holistic approach to resident support.",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,carechanges.com,111,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,065394,BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME,FLORENCE,CO,7197846331,97,"Find the official website of BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME, a healthcare provider in FLORENCE, CO. Exclude directories, reviews, government listings, job boards, and social media.",cdhs.colorado.gov,https://cdhs.colorado.gov/vclc-florence,Bruce McCandless Veterans Community Living Center at Florence | Colorado Department of Human Services,"# Bruce McCandless Veterans Community Living Center at Florence  
#### About the Bruce McCandless Veterans Community Living Center at Florence  
The Bruce McCandless Veterans Community Living Center at Florence is a proud member of the registry of the Eden Alternative, a nonprofit organization promoting quality of life in long-term care environments. Our ""Eden"" mission is to honor and respect those living and working in our home through companionship, empowerment and individualized care while providing a comfortable and safe place to live.  
The Bruce McCandless Veterans Community Living Center at Florence offers the following services:  
- **Long-term care:**We provide long-term medical and non-medical care, including skilled nursing services, physical, occupational and speech therapy, social activities, and assistance with bathing, dressing and other activities of daily living.
- **Short-term rehabilitation**: Physical, occupational and speech therapies are available for individuals seeking to return home following a qualifying hospital stay. Therapy specialists work with each individual to regain skills and improve physical strength, endurance and aerobic capacity.
- **Special programs:**We have specially developed programs for memory care, end-of-life/hospice and short-term ""respite"" care. We are also proud of our resident-selected programs offering intergenerational activities, pet welfare, spa bathing and more.
###### **Get In Touch!** Fill out our [interest form](https://form.jotform.com/cdhsmedia/mccandless-interestform) and a team member will get back to you shortly.  
Contact us  
**Bruce McCandless Veterans Community Living Center at Florence**
903 Moore Dr.
Florence, CO 81226**Phone:**800.283.2668 or 719.784.6331**Fax:**719.784.5335**Admissions Coordinator**
Kelly Black
Phone: 719.784.5358|1.800.283.2668
E-mail:[kelly.black@state.co.us](https://cdhs.colorado.gov/vclc-florence/mailto:kelly.black@state.co.us)**Nursing Home Administrator**
Barbara Moore
Phone: 719.784.5313 |1.800.283.2668
E-mail:[barbara.moore@state.co.us](https://cdhs.colorado.gov/vclc-florence/mailto:barbara.moore@state.co.us)  
We are located in beautiful Florence, Colorado. Stop in for a visit and tour any time!  
**From Denver or Colorado Springs:**Go south on Interstate 25, take Exit 140B (Nevada Avenue), which becomes Colorado Hwy 115. At Florence, turn left on Hwy 67, go one-half mile and turn right onto Moore Drive.**From Pueblo:**Go west on Hwy 50, and take Hwy 115 into Florence. Turn left on Hwy 67, go one-half mile and turn right onto Moore Drive.  
More information  
For information about eligibility, admission, rates and payment, please visit the main  
[Veterans Community Living Centers page](https://cdhs.colorado.gov/our-services/older-adult-services/veterans-community-living-centers).",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,colorado.gov,4,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,075338,ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE,SIMSBURY,CT,8606581018,98,"Find the official website of ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE, a healthcare provider in SIMSBURY, CT. Exclude directories, reviews, government listings, job boards, and social media.",arkgovernorshouse.com,https://arkgovernorshouse.com/services/,Ark Healthcare: Services for long-term care and short-term rehab,"Ark Healthcare at Governor&#x27;s House is a skilled nursing facility in Simsbury, CT, providing long and short-term care and rehab services.
ARK Healthcare Rehabilitation offers an integrated care system of professional, clinical and technical resources for complex wound care.",candidate_found,,"Fetch this domain and audit careers pages: >=5 detailed job URLs with IDs, no ATS, no JobPosting.",arkgovernorshouse.com,1,governors|house,plausible_official_domain,"Domain contains provider-specific token(s): governors, house. Ownership still requires a page-level check."
nursing_home,095025,LISNER LOUISE DICKSON HURTHOME,WASHINGTON,DC,2029666667,92,"Find the official website of LISNER LOUISE DICKSON HURTHOME, a healthcare provider in WASHINGTON, DC. Exclude directories, reviews, government listings, job boards, and social media.",lldhhome.org,https://www.lldhhome.org/about,Home History - Lisner-Louise-Dickson-Hurt Home,"# ABOUT US  
A history of outstanding service to the District of Columbia  
History  
As early as 1870, Mr. Corcoran was actively pursuing the establishment of a home ""for the support and maintenance of a limited number of gentlewomen, who have been reduced by misfortune."" The Louise Home, the outgrowth of Mr. Corcoran's generosity, pursued its mission of service at several sites in Washington until joining with the Lisner Home in 1976. The Louise Home was an icon among the local service community and was greatly admired by Henry Dickson.  
In fact, Henry Dickson wished to pay tribute to his late father by opening a similar facility for men. In his will signed in 1906, Mr. Dickson called for ""an association, society or institution to be known as the John Dickson Home, in memory of my beloved Father, for many years a resident of Washington and greatly interested in its welfare."" Mr. Dickson further mandated that the John Dickson Home be ""a free home to indigent men residing or to reside within the District of Columbia."" The Home opened in 1913 and ultimately came to join with the Lisner-Louise Home in 1985.
The youngest among an illustrious history of service providers, the Abraham and Laura Lisner Home for Aged Women began providing service to Washington seniors in 1941. Mr. Lisner opened the Palais Royal, a local department store, in 1877 and in 1888 he married Laura Hartmann, a sales clerk in the store's glove department. Having no children, the couple's fortunate circumstances enabled them to engage in years of philanthropy to the District of Columbia. The largest gift was designated in the last will and testament of Abraham Lisner to establish a home for ""aged and indigent women of the District."" The Home established by the gracious gifts of the Lisners stands as a tribute to the generosity of these two notable Washingtonians.  
It is important to note that the Louise, Dickson, and Hurt Homes have preserved their individual and unique identities and, as such, have retained their own endowments and Boards of Directors. The Abraham and Laura Lisner Home for Aged Women remains forever grateful to our affiliates and for their generous contributions to our shared mission. Their generosity is recognized in a myriad of ways including our combined operational name of the Lisner-Louise-Dickson-Hurt Home.
### HOME HISTORY  
Welcome Home  
The mission of the Lisner-Louise-Dickson-Hurt Home is to provide extraordinary health and life care services to low and modest income seniors of the District of Columbia, empowering them to live their lives to the fullest. The Home is recognized as a tax exempt public charity under section 501(c)(3) of the Internal Revenue Code. Gifts are tax deductible.  
The Lisner-Louise-Dickson-Hurt Home family is committed to seeing the truth and beauty of growing older. We take our vow to care for the whole person seriously, always remembering that ours is not a relationship of a moment but, rather, a relationship built upon a history of living life to the fullest. Time and age need not be a gift of the past but a promise of a full and well-spent future.",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,lldhhome.org,1,,needs_manual_domain_research,The saved result is not sufficient to prove ownership of this domain.
nursing_home,085031,ENCORE AT WILMINGTON,WILMINGTON,DE,3024790111,97,"Find the official website of ENCORE AT WILMINGTON, a healthcare provider in WILMINGTON, DE. Exclude directories, reviews, government listings, job boards, and social media.",seniorcarefinder.com,https://seniorcarefinder.com/providers/17899/de/wilmington/encore-at-wilmington,Encore At Wilmington - Wilmington DE - Senior Care Finder,"# Encore At Wilmington  
2723 Shipley Road, Wilmington, DE 19810
## Overview  
Encore At Wilmington, located in Wilmington, DE offers [skilled rehabilitation](javascript:void%280%29;). [Visit Provider Website](https://encoreatw.com/living-care/skilled-nursing/?utm_source=SeniorCareFinder&utm_medium=referral&utm_campaign=Senior_Care_Finder)  
Our skilled nursing rooms are designed for those who need long-term, round-the-clock nursing for chronic conditions. Encore at Wilmington residents can conveniently transition to skilled nursing whenever it’s needed. Of course, we always welcome direct entries into our skilled nursing residences from the Newark community at large too.
## Pricing  
Encore At Wilmington has not shared current pricing for long-term care / skilled nursing. The average price for long-term care / skilled nursing in the area ranges from $11,179 - $11,870 per month.  
Your monthly costs at Encore At Wilmington will vary depending on room type and the level of care needed.",candidate_found,,Do not create a custom scrape from this result; find an official domain manually or from a future source.,seniorcarefinder.com,377,,rejected_directory_or_registry,"Directory, registry, broker, review site, or public listing."
nursing_home,105634,GULFSIDE HEALTH AND REHABILITATION CENTER,CLEARWATER,FL,7274427106,99,"Find the official website of GULFSIDE HEALTH AND REHABILITATION CENTER, a healthcare provider in CLEARWATER, FL. Exclude directories, reviews, government listings, job boards, and social media.",gulfsidehrc.com,https://gulfsidehrc.com/,Gulfside Health and Rehabilitation Center,"Welcome to Gulfside Health and Rehabilitation Center, a premier skilled nursing center located in Clearwater, Florida.
Welcome to Gulfside Health and Rehabilitation Center, a premier skilled nursing center located in Clearwater, Florida.",candidate_found,,"Fetch this domain and audit careers pages: >=5 detailed job URLs with IDs, no ATS, no JobPosting.",gulfsidehrc.com,1,gulfside,plausible_official_domain,Domain contains provider-specific token(s): gulfside. Ownership still requires a page-level check.
