providerType,ccn,providerName,city,state,telephone,targetScore,braveQuery,candidateDomain,candidateUrl,candidateTitle,candidateDescription,discoveryStatus,discoveryError,nextStep
nursing_home,025031,SOUTH PENINSULA HOSPITAL LTC,HOMER,AK,9072350235,85,"""SOUTH PENINSULA HOSPITAL LTC"" ""HOMER"" ""AK"" official website",mycaringplan.com,https://www.mycaringplan.com/senior-living/south-peninsula-hospital-ltc/,"South Peninsula Hospital Ltc in Homer, Alaska","South Peninsula Hospital Ltc is a community that offers nursing care and is located in the small town of Homer, Alaska.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,015104,SOUTHLAND NURSING HOME,MARION,AL,3346836141,98,"""SOUTHLAND NURSING HOME"" ""MARION"" ""AL"" official website",nursinghomes.com,https://www.nursinghomes.com/al/marion/southland-nursing-home/,Southland Nursing Home | Marion Skilled Nursing Facility,"Read through our directory of nursing homes in Alabama that provide long-term, short-term as well as skilled nursing care.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,045214,Hudson Memorial Nursing Home,EL DORADO,AR,8708638131,97,"""Hudson Memorial Nursing Home"" ""EL DORADO"" ""AR"" official website",humanservices.arkansas.gov,https://humanservices.arkansas.gov/facilities/hudson-memorial-nursing-home/,Hudson Memorial Nursing Home - Arkansas Department of Human Services,"The Official Website of the State of Arkansas · Home &gt; Hudson Memorial Nursing Home · ← Go Back · Mailing-Address:-700 N. College Avenue, El Dorado, AR 71730 · Physical-Address:-700 N. College Avenue, El Dorado, AR 71730 · County:-Union · Phone-Number:-870-863-8131 ·",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,035134,RIM COUNTRY HEALTH & RETIREMENT COMMUNITY,PAYSON,AZ,9284741120,96,"""RIM COUNTRY HEALTH & RETIREMENT COMMUNITY"" ""PAYSON"" ""AZ"" official website",health.usnews.com,https://health.usnews.com/best-nursing-homes/area/az/rim-country-health-retirement-community-035134,"Rim Country Health & Retirement Community | Nursing Home in Payson, AZ","Rim Country Health &amp; Retirement Community in Payson, AZ offers short-term rehab and long-term care. It has a short-term rehabilitation rating of As Expected and a long-term care rating of As Expected. It is a medium facility with 109 beds and has for profit - corporation ownership.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,555521,Rancho Mesa Care Center,Alta Loma,CA,9099872501,99,"""Rancho Mesa Care Center"" ""Alta Loma"" ""CA"" official website",nursa.com,https://nursa.com/facilities/rancho-mesa-care-center-alta-loma-ca,"Rancho Mesa Care Center, Alta Loma, CA","Rancho Mesa Care Center, Alta Loma, CA has 59 beds.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,065394,BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME,FLORENCE,CO,7197846331,97,"""BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME"" ""FLORENCE"" ""CO"" official website",nursinghomes.com,https://www.nursinghomes.com/co/florence/bruce-mccandless-co-state-veterans-nursing-home/,Bruce Mccandless Co State Veterans Nursing Home - Florence Post Acute Care,"Selecting the right skilled nursing facility can be critical to your speedy recovery. Bruce Mccandless Co State Veterans Nursing Home located in Florence, CO, in Fremont County, offers a variety of therapies and care services to help you regain your independence.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,075338,ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE,SIMSBURY,CT,8606581018,98,"""ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE"" ""SIMSBURY"" ""CT"" official website",,,,,no_official_domain_candidate,,Manual domain review
nursing_home,095025,LISNER LOUISE DICKSON HURTHOME,WASHINGTON,DC,2029666667,92,"""LISNER LOUISE DICKSON HURTHOME"" ""WASHINGTON"" ""DC"" official website",carechanges.com,https://www.carechanges.com/living-communities/lisner-louise-dickson-hurthome_washington_district-of-columbia/,Lisner Louise Dickson Hurthome in District Of Columbia | Nursing Homes | Care Changes,"Lisner Louise Dickson Hurthome is a Nursing Homes facility in Washington, District Of Columbia. The facility provides several specific services, including a Rehabilitation Program designed to aid residents in recovery and improving their physical capabilities.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,085031,ENCORE AT WILMINGTON,WILMINGTON,DE,3024790111,97,"""ENCORE AT WILMINGTON"" ""WILMINGTON"" ""DE"" official website",encoreatw.com,https://encoreatw.com/,"Senior Living in Wilmington, DE | Encore at Wilmington","Welcome to Encore at Wilmington, where loving care is at the heart of it all! You can’t help but feel it and see it everywhere you look, because, here, we bring loving care to everything we do.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
nursing_home,105634,GULFSIDE HEALTH AND REHABILITATION CENTER,CLEARWATER,FL,7274427106,99,"""GULFSIDE HEALTH AND REHABILITATION CENTER"" ""CLEARWATER"" ""FL"" official website",gulfsidehrc.com,https://gulfsidehrc.com/,Gulfside Health and Rehabilitation Center,"Welcome to Gulfside Health and Rehabilitation Center, a premier skilled nursing center located in Clearwater, Florida.",candidate_found,,"Audit careers pages: require >=5 detailed job URLs with IDs, no ATS, and no JobPosting."
