source,ccn,providerName,ownershipType,address,city,state,zipCode,telephone,medicareEpisodesProxy,targetScore,sizeRationale,nextStep
CMS home health provider info,037297,RIVER VALLEY HOME HEALTH,PROPRIETARY,"1317 SOUTH JOSHUA AVENUE, SUITE Q",PARKER,AZ,85344,9286690010,449,100,449 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,053151,HARMONY HOME HEALTH,PROPRIETARY,"140 GREGORY LANE, SUITE 270",PLEASANT HILL,CA,94523,9254786009,453,100,453 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,053197,DELIGHT HOME HEALTH CARE,PROPRIETARY,"14435 HAMLIN STREET, SUITE 203",VAN NUYS,CA,91401,5623681331,455,100,455 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058121,HAVEN HEALTHCARE,PROPRIETARY,"2855 TEMPLE AVENUE, SUITE A",SIGNAL HILL,CA,90755,5622900558,454,100,454 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058131,"MISSION HOME HEALTH SERVICES, INC",PROPRIETARY,505 S VIRGIL AVE  SUITE 305,LOS ANGELES,CA,90020,2133874663,446,100,446 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058268,"AMITY HOME HEALTH, INC",PROPRIETARY,"17042 DEVONSHIRE STREET, SUITE 220",NORTHRIDGE,CA,91325,8188318270,447,100,447 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058274,"ROYALE HOME HEALTH CARE, INC",PROPRIETARY,2626 FOOTHILL BLVD. SUITE 280,LA CRESCENTA,CA,91214,9093940331,454,100,454 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058405,ALLIED HEALTHCARE PROFESSIONALS INC,PROPRIETARY,869 LINDAWOOD STREET,NEWBURY PARK,CA,91320,8054962680,447,100,447 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,058460,WESCARE HOME HEALTH PROVIDERS INC,PROPRIETARY,"16921 PARTHENIA STREET, SUITE 304",NORTH HILLS,CA,91343,8186728808,453,100,453 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS home health provider info,059019,"RAE STAR HEALTH SYSTEMS, INC",PROPRIETARY,17215 STUDEBAKER ROAD SUITE 175,CERRITOS,CA,90703,5628651340,447,100,447 Medicare episodes (activity proxy only; CMS does not provide employee or staffing data in this export),"Enrich with company size/domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
