source,ccn,providerName,legalBusinessName,ownershipType,address,city,state,zipCode,telephone,averageResidentsPerDay,nurseHoursPerResidentDay,estimatedNursingFte,facilitiesInChain,chainName,targetScore,sizeRationale,nextStep
CMS nursing home provider info,676011,MAGNOLIA PLACE HEALTH CARE,WINNIE-STOWELL HOSPITAL DISTRICT,For profit - Partnership,1620 MAGNOLIA ST.,LIBERTY,TX,77575,9363368844,65.1,3.727,30.3,0,,100,65.1 residents × 3.727 nursing hours/resident/day ÷ 8h = 30.3 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,105634,GULFSIDE HEALTH AND REHABILITATION CENTER,Legal Business Name Not Available,For profit - Limited Liability company,1100 N PINE ST,CLEARWATER,FL,33756,7274427106,65.4,3.604,29.5,0,,99,65.4 residents × 3.604 nursing hours/resident/day ÷ 8h = 29.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,105660,"MANOR AT CARPENTERS, THE",CARPENTERS HOME ESTATES INC,Non profit - Corporation,1001 CARPENTERS WAY,LAKELAND,FL,33809,8638583847,66.1,3.709,30.6,0,,99,66.1 residents × 3.709 nursing hours/resident/day ÷ 8h = 30.6 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,146116,LA SALLE COUNTY NURSING HOME,LASALLE COUNTY BOARD OFFICE,Government - County,1380 NORTH 27TH ROAD,OTTAWA,IL,61350,8154330476,67.9,3.539,30.0,0,,99,67.9 residents × 3.539 nursing hours/resident/day ÷ 8h = 30.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,146177,RESTHAVE HOME-WHITESIDE COUNTY,RESTHAVE HOME OF WHITESIDE COUNTY ILLINOIS,Non profit - Corporation,408 MAPLE AVENUE,MORRISON,IL,61270,8157724021,66.7,3.642,30.4,0,,99,66.7 residents × 3.642 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,165472,Scenic Manor,SCENIC LIVING COMMUNITIES INC,For profit - Corporation,1409 Fremont Street,Iowa Falls,IA,50126,6416484671,64.2,3.715,29.8,0,,99,64.2 residents × 3.715 nursing hours/resident/day ÷ 8h = 29.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,185217,Metcalfe Nursing and Rehabilitation Center,Legal Business Name Not Available,Non profit - Corporation,701 Skyline Drive,Edmonton,KY,42129,2704322921,68.0,3.527,30.0,0,,99,68.0 residents × 3.527 nursing hours/resident/day ÷ 8h = 30.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,215007,Wicomico Nursing Home,WICOMICO NURSING HOME,Government - County,900 BOOTH STREET,SALISBURY,MD,21801,4107428896,65.6,3.757,30.8,0,,99,65.6 residents × 3.757 nursing hours/resident/day ÷ 8h = 30.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,265412,MOUNTAIN VIEW HEALTHCARE,WILLOW HEALTH CARE INC,Non profit - Corporation,1211 NORTH ASH STREET,MOUNTAIN VIEW,MO,65548,4179346818,63.9,3.711,29.6,0,,99,63.9 residents × 3.711 nursing hours/resident/day ÷ 8h = 29.6 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,315061,SOUTH JERSEY EXTENDED CARE,HW WEIDCO REN LLC,For profit - Limited Liability company,99 MANHEIM AVENUE,BRIDGETON,NJ,08302,8564552100,65.2,3.587,29.2,0,,99,65.2 residents × 3.587 nursing hours/resident/day ÷ 8h = 29.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,335784,Schervier Pavilion,VILLA FRANCES AT THE KNOLLS,Non profit - Corporation,22 Van Duzer Place,Warwick,NY,10990,8459875717,63.4,3.837,30.4,0,,99,63.4 residents × 3.837 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,345185,Premier Living and Rehab Center,Legal Business Name Not Available,For profit - Individual,106 Cameron Street,Lake Waccamaw,NC,28450,9106463132,67.4,3.602,30.4,0,,99,67.4 residents × 3.602 nursing hours/resident/day ÷ 8h = 30.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,375556,SHERWOOD MANOR NURSING HOME,SHERWOOD HEALTH SERVICES LLC,For profit - Individual,2416 WEST 51STSOUTH,TULSA,OK,74107,9184464284,65.9,3.580,29.5,0,,99,65.9 residents × 3.580 nursing hours/resident/day ÷ 8h = 29.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,395605,ST BARNABAS NURSING HOME,"ST. BARNABAS NURSING HOME, INC.",Non profit - Corporation,5827 MERIDIAN ROAD,GIBSONIA,PA,15044,7244430700,61.5,3.875,29.8,0,,99,61.5 residents × 3.875 nursing hours/resident/day ÷ 8h = 29.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,445388,GENERATIONS CENTER OF SPENCER,"GENERATIONS HEALTH ASSOCIATION, INC",Non profit - Corporation,87 GENERATIONS DRIVE,SPENCER,TN,38585,9319467768,66.5,3.668,30.5,0,,99,66.5 residents × 3.668 nursing hours/resident/day ÷ 8h = 30.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,495357,OUR LADY OF THE VALLEY,"OUR LADY OF THE VALLEY, INC.",Non profit - Church related,650 NORTH JEFFERSON STREET,ROANOKE,VA,24016,5403455111,63.6,3.838,30.5,0,,99,63.6 residents × 3.838 nursing hours/resident/day ÷ 8h = 30.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,555521,Rancho Mesa Care Center,P AND M HEALTHCARE HOLDINGS INC,For profit - Limited Liability company,9333 La Mesa Dr,Alta Loma,CA,91701,9099872501,63.3,3.721,29.4,0,,99,63.3 residents × 3.721 nursing hours/resident/day ÷ 8h = 29.4 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,676000,PINE RIDGE HEALTH CARE LLP,PINE RIDGE HEALTH CARE L L P,For profit - Partnership,1620 US 59 N,LIVINGSTON,TX,77351,9363275415,65.6,3.722,30.5,0,,99,65.6 residents × 3.722 nursing hours/resident/day ÷ 8h = 30.5 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,015104,SOUTHLAND NURSING HOME,SOUTHLAND NURSING HOME LLC,For profit - Corporation,500 SHIVERS TERRACE,MARION,AL,36756,3346836141,65.2,3.905,31.8,0,,98,65.2 residents × 3.905 nursing hours/resident/day ÷ 8h = 31.8 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,056382,THE GROVE POST-ACUTE CARE CENTER,THE HANDSEL GROUP LLC,For profit - Limited Liability company,14122 HUBBARD STREET,SYLMAR,CA,91342,8183610191,65.7,3.518,28.9,0,,98,65.7 residents × 3.518 nursing hours/resident/day ÷ 8h = 28.9 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,075338,ARK HEALTHCARE & REHABILITATION AT GOVERNORS HOUSE,GOVERNOR'S HOUSE SIMSBURY OPCO LLC,For profit - Limited Liability company,36 FIRETOWN RD,SIMSBURY,CT,06070,8606581018,66.4,3.514,29.2,0,,98,66.4 residents × 3.514 nursing hours/resident/day ÷ 8h = 29.2 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,125024,NUUANU HALE,"NUUANU HALE, INC",For profit - Corporation,2900 PALI HIGHWAY,HONOLULU,HI,96817,8085956311,64.2,3.611,29.0,0,,98,64.2 residents × 3.611 nursing hours/resident/day ÷ 8h = 29.0 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
CMS nursing home provider info,145200,FRANKLIN GROVE LIVING AND REHAB,"FRANKLIN GROVE LIVING & REHABILITATION CENTER, LLC",For profit - Limited Liability company,502 NORTH STATE STREET,FRANKLIN GROVE,IL,61031,8154562374,68.7,3.561,30.6,0,,98,68.7 residents × 3.561 nursing hours/resident/day ÷ 8h = 30.6 estimated nursing FTE,"Find official domain, then verify no ATS and no JobPosting before custom-scrape onboarding"
