businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError,homepageUrl,careerUrls,detailJobUrls,careerPageFound,atsDetected,jobPostingDetected,detailedJobCount,auditStatus,auditNote
"Sunkeeper Solar LLC","sunkeeper solar","100","33","71","2026-07-29","2026-07-23","New York | Far Rockaway | Kew Gardens | Flushing | Astoria | Brooklyn | Jamaica | Sunnyside","New York | Queens | Kings | Richmond | Bronx","527","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunkeeper solar","sunkeepersolar.com","https://sunkeepersolar.com","Sunkeeper Solar","","candidate_found","","https://www.sunkeepersolar.com/","https://www.sunkeepersolar.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Nexamp Inc","nexamp","124","28","22","2026-02-18","2026-07-13","Mount Kisco | New Hampton | Sparrow Bush | Warwick | Middletown | Accord | Goshen | Bloomingburg","Westchester | Orange | Ulster | Albany | Greene | Dutchess | Columbia | Rensselaer","340","Find official domain, then audit careers/jobs pages for detailed solar offers.","nexamp","nexamp.com","https://nexamp.com","Nexamp","","candidate_found","","https://www.nexamp.com/","https://www.nexamp.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Madison Energy Holding LLC","madison energy holding","24","22","12","2026-05-08","2026-06-24","Altamont | Malone | Evans Mills | Binghamton | Cortland | Memphis | Elmira | Cazenovia","Albany | Franklin | Jefferson | Broome | Cortland | Onondaga | Chemung | Madison","236","Find official domain, then audit careers/jobs pages for detailed solar offers.","madison energy","madisonenergygroup.com","https://madisonenergygroup.com","Madison Energy Group","","candidate_found","","https://madisonenergygroup.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Catalyze Holdings, LLC","catalyze holdings","51","20","17","2024-01-06","2026-02-13","College Point | Maspeth | Selkirk | Hermon | Altona | Potsdam | Mohawk | Newark","Queens | Albany | St Lawrence | Clinton | Herkimer | Wayne | Onondaga | Montgomery","261","Find official domain, then audit careers/jobs pages for detailed solar offers.","catalyze","catalyze-group.com","https://catalyze-group.com","Catalyze","","candidate_found","","https://catalyze-group.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"RIC Development, LLC","ric development","17","17","16","2026-06-17","","Clinton | Coeymans Hollow | Voorheesville | Natural Bridge | Oswego | Williamstown | Ontario | Newark","Oneida | Albany | Jefferson | Oswego | Wayne | Erie | Steuben | Niagara","201","Find official domain, then audit careers/jobs pages for detailed solar offers.","ric development","ricdevelopment.co.bw","https://ricdevelopment.co.bw","RIC Development Botswana","","candidate_found","","https://ricdevelopment.co.bw/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"BEST ENERGY POWER","best energy power","610","15","78","2026-04-01","2026-07-31","East Hampton | Ronkonkoma | Port Jefferson Station | Riverhead | Amityville | Massapequa | Westbury | Great Neck","Suffolk | Nassau | Queens | Kings | Richmond | New York | Bronx | Westchester","404","Find official domain, then audit careers/jobs pages for detailed solar offers.","best energy power","bestenergypower.com","https://bestenergypower.com","BEST ENERGY POWER","","candidate_found","","https://bestenergypower.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Green Street Power Partners, LLC","green street power partners","432","13","11","2026-01-28","2026-07-07","Shoreham | Oyster Bay | Massapequa | Fresh Meadows | College Point | Jamaica | Ozone Park | Rockaway Park","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","187","Find official domain, then audit careers/jobs pages for detailed solar offers.","green street power partners","gspp.com","https://gspp.com","Green Street Power Partners","","candidate_found","","https://gspowerpartners.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Lightstar Renewables LLC","lightstar renewables","13","13","8","2026-06-17","","Montgomery | Ulster | Slate Hill | New Windsor | Walden | Chester | Hannacroix | Florida","Orange | Ulster | Greene | Dutchess | Saratoga | Jefferson","141","Find official domain, then audit careers/jobs pages for detailed solar offers.","lightstar renewables","lightstar.com","https://lightstar.com","Lightstar Renewables","","candidate_found","","https://www.lightstar.com/","https://www.lightstar.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Generate Capital","generate capital","98","12","22","2025-01-15","2026-06-10","Crown Point | Lyons | Baldwinsville | Westtown | Otisville | Port Jervis | Montgomery | Goshen","Essex | Wayne | Onondaga | Orange | Sullivan | Greene | Albany | Ulster","212","Find official domain, then audit careers/jobs pages for detailed solar offers.","generate capital","generatecapital.com","https://generatecapital.com","Generate","","candidate_found","","https://generatecapital.com/","","","false","true","false","0","rejected_ats","Known ATS reference found on homepage."
"AMS Construction Corp","ams construction","27","12","16","2025-12-10","2025-04-22","Astoria | Brooklyn | Staten Island | New York | Bronx | Germantown","Queens | Kings | Richmond | New York | Bronx | Columbia","171","Find official domain, then audit careers/jobs pages for detailed solar offers.","ams construction","amsconstructionservices.com","https://amsconstructionservices.com","AMS Construction","","candidate_found","","https://amsconstructionservices.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
