businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Accord Power Inc","accord power","1079","366","736","2026-07-21","2026-07-31","Bronx | Brooklyn | Flushing | Fresh Meadows | Centereach | Jamaica | Miller Place | Woodside","Bronx | Kings | Queens | Suffolk | Nassau | Richmond | New York | Westchester","5186","Find official domain, then audit careers/jobs pages for detailed solar offers.","accord power","","","","","no_official_domain_candidate",""
"SunLight General Capital, LLC","sunlight general capital","91","81","81","2025-07-02","2026-01-30","Brooklyn | New York | Larchmont | Montrose | West Coxsackie | Kingston | Clinton | Sandy Creek","Kings | New York | Westchester | Greene | Ulster | Oneida | Oswego","941","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunlight general capital","","","","","no_official_domain_candidate",""
"Fieldston Power LLC","fieldston power","84","39","84","2026-06-03","2026-07-27","Bronx | Elmhurst | Brooklyn | New York","Bronx | Queens | Kings | New York","614","Find official domain, then audit careers/jobs pages for detailed solar offers.","fieldston power","","","","","no_official_domain_candidate",""
"Sunkeeper Solar LLC","sunkeeper solar","100","33","71","2026-07-29","2026-07-23","New York | Far Rockaway | Kew Gardens | Flushing | Astoria | Brooklyn | Jamaica | Sunnyside","New York | Queens | Kings | Richmond | Bronx","527","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunkeeper solar","sunkeepersolar.com","https://sunkeepersolar.com","Sunkeeper Solar","","candidate_found",""
"Nexamp Inc","nexamp","124","28","22","2026-02-18","2026-07-13","Mount Kisco | New Hampton | Sparrow Bush | Warwick | Middletown | Accord | Goshen | Bloomingburg","Westchester | Orange | Ulster | Albany | Greene | Dutchess | Columbia | Rensselaer","340","Find official domain, then audit careers/jobs pages for detailed solar offers.","nexamp","nexamp.com","https://nexamp.com","Nexamp","","candidate_found",""
"Madison Energy Holding LLC","madison energy holding","24","22","12","2026-05-08","2026-06-24","Altamont | Malone | Evans Mills | Binghamton | Cortland | Memphis | Elmira | Cazenovia","Albany | Franklin | Jefferson | Broome | Cortland | Onondaga | Chemung | Madison","236","Find official domain, then audit careers/jobs pages for detailed solar offers.","madison energy","madisonenergygroup.com","https://madisonenergygroup.com","Madison Energy Group","","candidate_found",""
"Catalyze Holdings, LLC","catalyze holdings","51","20","17","2024-01-06","2026-02-13","College Point | Maspeth | Selkirk | Hermon | Altona | Potsdam | Mohawk | Newark","Queens | Albany | St Lawrence | Clinton | Herkimer | Wayne | Onondaga | Montgomery","261","Find official domain, then audit careers/jobs pages for detailed solar offers.","catalyze","catalyze-group.com","https://catalyze-group.com","Catalyze","","candidate_found",""
"Distributed Asset Solutions LLC","distributed asset solutions","58","20","13","2026-01-17","2026-06-08","Pine Bush | Wallkill | Woodbourne | Ferndale | Hudson | Waterford | Mooers Forks | Ballston Spa","Ulster | Sullivan | Columbia | Saratoga | Clinton | Tioga | Tompkins | Cayuga","249","Find official domain, then audit careers/jobs pages for detailed solar offers.","distributed asset solutions","","","","","no_official_domain_candidate",""
"RIC Development, LLC","ric development","17","17","16","2026-06-17","","Clinton | Coeymans Hollow | Voorheesville | Natural Bridge | Oswego | Williamstown | Ontario | Newark","Oneida | Albany | Jefferson | Oswego | Wayne | Erie | Steuben | Niagara","201","Find official domain, then audit careers/jobs pages for detailed solar offers.","ric development","ricdevelopment.co.bw","https://ricdevelopment.co.bw","RIC Development Botswana","","candidate_found",""
"Bullrock Corporation","bullrock","29","16","13","2026-04-21","2026-05-20","East Bloomfield | Bennington | Campbell | Mohegan Lake | Ferndale | Middletown | Stamford | Catskill","Ontario | Wyoming | Steuben | Westchester | Sullivan | Orange | Delaware | Greene","196","Find official domain, then audit careers/jobs pages for detailed solar offers.","bullrock corporation","","","","","no_official_domain_candidate",""
"BEST ENERGY POWER","best energy power","610","15","78","2026-04-01","2026-07-31","East Hampton | Ronkonkoma | Port Jefferson Station | Riverhead | Amityville | Massapequa | Westbury | Great Neck","Suffolk | Nassau | Queens | Kings | Richmond | New York | Bronx | Westchester","404","Find official domain, then audit careers/jobs pages for detailed solar offers.","best energy power","bestenergypower.com","https://bestenergypower.com","BEST ENERGY POWER","","candidate_found",""
"PowerFlex Solar, LLC","powerflex solar","77","14","10","2026-04-15","2025-09-03","Ronkonkoma | Holtsville | Islip Terrace | Hauppauge | Sayville | Westbury | Mineola | Port Washington","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Orange","192","Find official domain, then audit careers/jobs pages for detailed solar offers.","powerflex solar","","","","","no_official_domain_candidate",""
"Green Street Power Partners, LLC","green street power partners","432","13","11","2026-01-28","2026-07-07","Shoreham | Oyster Bay | Massapequa | Fresh Meadows | College Point | Jamaica | Ozone Park | Rockaway Park","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","187","Find official domain, then audit careers/jobs pages for detailed solar offers.","green street power partners","gspp.com","https://gspp.com","Green Street Power Partners","","candidate_found",""
"Lightstar Renewables LLC","lightstar renewables","13","13","8","2026-06-17","","Montgomery | Ulster | Slate Hill | New Windsor | Walden | Chester | Hannacroix | Florida","Orange | Ulster | Greene | Dutchess | Saratoga | Jefferson","141","Find official domain, then audit careers/jobs pages for detailed solar offers.","lightstar renewables","lightstar.com","https://lightstar.com","Lightstar Renewables","","candidate_found",""
"Generate Capital","generate capital","98","12","22","2025-01-15","2026-06-10","Crown Point | Lyons | Baldwinsville | Westtown | Otisville | Port Jervis | Montgomery | Goshen","Essex | Wayne | Onondaga | Orange | Sullivan | Greene | Albany | Ulster","212","Find official domain, then audit careers/jobs pages for detailed solar offers.","generate capital","generatecapital.com","https://generatecapital.com","Generate","","candidate_found",""
"AMS Construction Corp","ams construction","27","12","16","2025-12-10","2025-04-22","Astoria | Brooklyn | Staten Island | New York | Bronx | Germantown","Queens | Kings | Richmond | New York | Bronx | Columbia","171","Find official domain, then audit careers/jobs pages for detailed solar offers.","ams construction","amsconstructionservices.com","https://amsconstructionservices.com","AMS Construction","","candidate_found",""
"Abundant Solar Power Inc.","abundant solar power","24","12","12","2026-05-20","2025-10-17","Middletown | Buffalo | Skaneateles Falls | Conklin | Cazenovia | Syracuse | East Syracuse | Elmira","Delaware | Erie | Onondaga | Broome | Madison | Chemung | Wayne | Monroe","156","Find official domain, then audit careers/jobs pages for detailed solar offers.","abundant solar power","","","","","no_official_domain_candidate",""
"RP New York Solar, LLC","rp new york solar","12","11","9","2026-02-18","2026-06-08","East Berne | Phoenix | Fulton | Central Square | Brewerton | Little Falls | Baldwinsville | Burt","Albany | Onondaga | Oswego | Herkimer | Niagara | Allegany | Cattaraugus","127","Find official domain, then audit careers/jobs pages for detailed solar offers.","new york solar","nyses.org","https://nyses.org","New York Solar Energy Society","","candidate_found",""
"OYA SOLAR NY L.P.","oya solar ny l p","17","11","0","2022-09-13","2023-06-13","Watertown | Clayton | Constable | Pulaski | Baldwinsville | Burt | Piffard | Cattaraugus","Jefferson | Franklin | Oswego | Onondaga | Niagara | Livingston | Cattaraugus | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers.","oya solar","","","","","no_official_domain_candidate",""
"Dimension Energy LLC","dimension energy","19","10","7","2025-11-21","2026-06-23","Heuvelton | Galway | Canton | Lowville | New Woodstock | Skaneateles | Parish | Palmyra","St Lawrence | Saratoga | Lewis | Madison | Onondaga | Oswego | Wayne | Chenango","120","Find official domain, then audit careers/jobs pages for detailed solar offers.","dimension energy","dimensionenergy.eu","https://dimensionenergy.eu","Dimension Energy","","candidate_found",""
"NSF EPC LLC","nsf epc","22","9","12","2026-05-29","2026-06-05","Fishers | Elbridge | Chateaugay | Ithaca | Endicott | Walworth | Norwich | Edmeston","Ontario | Onondaga | Franklin | Tompkins | Broome | Wayne | Chenango | Otsego","130","Find official domain, then audit careers/jobs pages for detailed solar offers.","nsf epc","nsfepc.com","https://nsfepc.com","NSF EPC","","candidate_found",""
"Seaboard Solar Holdings LLC","seaboard solar holdings","9","9","9","2026-01-28","","Valatie | East Greenbush | Waterford | Boonville | Gansevoort","Columbia | Rensselaer | Saratoga | Oneida","108","Find official domain, then audit careers/jobs pages for detailed solar offers.","seaboard solar","seaboardsolar.com","https://seaboardsolar.com","Seaboard Solar","","candidate_found",""
"New Energy Equity LLC","new energy equity","12","9","7","2025-05-24","2026-07-14","Middletown | Moriah | Newark Valley | Sherburne | Depew | Buffalo | Houghton | Falconer","Orange | Essex | Tioga | Chenango | Erie | Allegany | Chautauqua","105","Find official domain, then audit careers/jobs pages for detailed solar offers.","new energy equity","newenergyequity.com","https://newenergyequity.com","New Energy Equity","","candidate_found",""
"Bluewave Public Benefit Corp.","bluewave public benefit","9","9","6","2026-02-18","","Stamford | Fonda | Newport | Binghamton | Johnstown | Albion | Hornell","Delaware | Fulton | Herkimer | Broome | Orleans | Steuben","99","Find official domain, then audit careers/jobs pages for detailed solar offers.","bluewave public benefit","","","","","no_official_domain_candidate",""
"Scale Microgrid Solutions Operating, LLC","scale microgrid solutions operating","15","8","9","2024-08-23","2026-06-03","Bainbridge | Chemung | Amsterdam | Binghamton | Apalachin | Romulus","Chenango | Chemung | Montgomery | Fulton | Broome | Tioga | Seneca","106","Find official domain, then audit careers/jobs pages for detailed solar offers.","scale microgrid solutions operating","","","","","no_official_domain_candidate",""
"SAFARI ENERGY","safari energy","82","8","8","2026-02-17","2022-12-09","Centereach | Riverhead | Ridge | Greenlawn | Bohemia | Huntington Station | Deer Park | Plainview","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","138","Find official domain, then audit careers/jobs pages for detailed solar offers.","safari energy","","","","","no_official_domain_candidate",""
"Delaware River Solar, LLC","delaware river solar","18","7","7","2026-05-20","2024-12-19","Winfield | Erwin | Corning | Callicoon | Monticello | Woodridge | Narrowsburg | Dryden","Herkimer | Steuben | Sullivan | Tompkins | Chemung | Onondaga | Tioga | Oneida","95","Find official domain, then audit careers/jobs pages for detailed solar offers.","delaware river solar","delawareriversolar.com","https://delawareriversolar.com","Delaware River Solar","","candidate_found",""
"NYSS LLC","nyss","1814","6","1496","2026-06-16","2026-07-30","Richmond Hill | Queens | Woodside | Melville | Babylon | Copiague | Central Islip | Blue Point","Queens | Suffolk | Nassau | Kings | Richmond | Bronx | New York | Westchester","4586","Find official domain, then audit careers/jobs pages for detailed solar offers.","nyss","","","","","no_official_domain_candidate",""
"Sustainable Energy Developments (DBA GreenSpark Solar)","sustainable energy developments dba greenspark solar","1524","6","433","2026-04-21","2026-07-24","Canandaigua | Sodus | Webster | Macedon | Ontario | Weedsport | Walworth | Williamson","Ontario | Wayne | Monroe | Cayuga | Onondaga | Tompkins | Oneida | Otsego","1397","Find official domain, then audit careers/jobs pages for detailed solar offers.","sustainable energy developments dba greenspark solar","","","","","no_official_domain_candidate",""
"ASA Holdings NY I LLC (dba for Puresky HoldCo, Inc)","asa holdings ny i dba for puresky holdco","34","6","6","2025-04-24","2026-04-16","Castleton on Hudson | Troy | Hudson | Nassau | Corinth | Clayton | Richville | Hermon","Rensselaer | Columbia | Saratoga | Jefferson | St Lawrence | Warren | Schenectady | Oneida","100","Find official domain, then audit careers/jobs pages for detailed solar offers.","asa dba for puresky holdco","","","","","no_official_domain_candidate",""
