businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,dataforseoQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Accord Power Inc","accord power","1079","366","736","2026-07-21","2026-07-31","Bronx | Brooklyn | Flushing | Fresh Meadows | Centereach | Jamaica | Miller Place | Woodside","Bronx | Kings | Queens | Suffolk | Nassau | Richmond | New York | Westchester","5186","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Accord Power Inc"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {
    ""version"": ""0.1.20260806"",
    ""status_code"": 20000,
    ""status_message"": ""Ok."",
    ""time"": ""0 sec."",
    ""cost"": 0,
    ""tasks_count"": 1,
    ""tasks_error"": 1,
    ""tasks"": [
        {
            ""id"": ""08251715-2368-0139-0000-a0a2840d6c52"",
            ""status_code"": 40200,
            ""s"
"SunLight General Capital, LLC","sunlight general capital","91","81","81","2025-07-02","2026-01-30","Brooklyn | New York | Larchmont | Montrose | West Coxsackie | Kingston | Clinton | Sandy Creek","Kings | New York | Westchester | Greene | Ulster | Oneida | Oswego","941","Find official domain, then audit careers/jobs pages for detailed solar offers.","""SunLight General Capital, LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":20000,""status_message"":""Ok."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":[{""id"":""08251715-2368-0139-0000-28cce55d09cb"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""result_count"":0,""path"":[""v3"",""serp"","""
"Fieldston Power LLC","fieldston power","84","39","84","2026-06-03","2026-07-27","Bronx | Elmhurst | Brooklyn | New York","Bronx | Queens | Kings | New York","614","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Fieldston Power LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":20000,""status_message"":""Ok."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":[{""id"":""08251715-2368-0139-0000-80340bdfcff7"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""result_count"":0,""path"":[""v3"",""serp"","""
"Sunkeeper Solar LLC","sunkeeper solar","100","33","71","2026-07-29","2026-07-23","New York | Far Rockaway | Kew Gardens | Flushing | Astoria | Brooklyn | Jamaica | Sunnyside","New York | Queens | Kings | Richmond | Bronx","527","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sunkeeper Solar LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":null}"
"Nexamp Inc","nexamp","124","28","22","2026-02-18","2026-07-13","Mount Kisco | New Hampton | Sparrow Bush | Warwick | Middletown | Accord | Goshen | Bloomingburg","Westchester | Orange | Ulster | Albany | Greene | Dutchess | Columbia | Rensselaer","340","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Nexamp Inc"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":20000,""status_message"":""Ok."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":[{""id"":""08251715-2368-0139-0000-e688dba255b5"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""result_count"":0,""path"":[""v3"",""serp"","""
"Madison Energy Holding LLC","madison energy holding","24","22","12","2026-05-08","2026-06-24","Altamont | Malone | Evans Mills | Binghamton | Cortland | Memphis | Elmira | Cazenovia","Albany | Franklin | Jefferson | Broome | Cortland | Onondaga | Chemung | Madison","236","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Madison Energy Holding LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":20000,""status_message"":""Ok."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":[{""id"":""08251715-2368-0139-0000-7002b3b1e2af"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""result_count"":0,""path"":[""v3"",""serp"","""
"Catalyze Holdings, LLC","catalyze holdings","51","20","17","2024-01-06","2026-02-13","College Point | Maspeth | Selkirk | Hermon | Altona | Potsdam | Mohawk | Newark","Queens | Albany | St Lawrence | Clinton | Herkimer | Wayne | Onondaga | Montgomery","261","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Catalyze Holdings, LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":20000,""status_message"":""Ok."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":[{""id"":""08251715-2368-0139-0000-01b0a5ec34be"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""result_count"":0,""path"":[""v3"",""serp"","""
"Distributed Asset Solutions LLC","distributed asset solutions","58","20","13","2026-01-17","2026-06-08","Pine Bush | Wallkill | Woodbourne | Ferndale | Hudson | Waterford | Mooers Forks | Ballston Spa","Ulster | Sullivan | Columbia | Saratoga | Clinton | Tioga | Tompkins | Cayuga","249","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Distributed Asset Solutions LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {
    ""version"": ""0.1.20260806"",
    ""status_code"": 40200,
    ""status_message"": ""Payment Required."",
    ""time"": ""0 sec."",
    ""cost"": 0,
    ""tasks_count"": 1,
    ""tasks_error"": 1,
    ""tasks"": null
}"
"RIC Development, LLC","ric development","17","17","16","2026-06-17","","Clinton | Coeymans Hollow | Voorheesville | Natural Bridge | Oswego | Williamstown | Ontario | Newark","Oneida | Albany | Jefferson | Oswego | Wayne | Erie | Steuben | Niagara","201","Find official domain, then audit careers/jobs pages for detailed solar offers.","""RIC Development, LLC"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {""version"":""0.1.20260806"",""status_code"":40200,""status_message"":""Payment Required."",""time"":""0 sec."",""cost"":0,""tasks_count"":1,""tasks_error"":1,""tasks"":null}"
"Bullrock Corporation","bullrock","29","16","13","2026-04-21","2026-05-20","East Bloomfield | Bennington | Campbell | Mohegan Lake | Ferndale | Middletown | Stamford | Catskill","Ontario | Wyoming | Steuben | Westchester | Sullivan | Orange | Delaware | Greene","196","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Bullrock Corporation"" solar contractor New York official website","","","","","search_error","DataForSEO HTTP 402: {
    ""version"": ""0.1.20260806"",
    ""status_code"": 40200,
    ""status_message"": ""Payment Required."",
    ""time"": ""0 sec."",
    ""cost"": 0,
    ""tasks_count"": 1,
    ""tasks_error"": 1,
    ""tasks"": null
}"
