businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,firecrawlQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Accord Power Inc","accord power","1079","366","736","2026-07-21","2026-07-31","Bronx | Brooklyn | Flushing | Fresh Meadows | Centereach | Jamaica | Miller Place | Woodside","Bronx | Kings | Queens | Suffolk | Nassau | Richmond | New York | Westchester","5186","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Accord Power Inc"" solar contractor New York official website","accordpower.com","https://accordpower.com/","The Tri-State Area's Premier Solar Installer - Accord Power Inc | Green ...","# The Tri-State Area's Premier Solar Installer
[Get Started](https://accordpower.com/contact-us/)

## What’s new at Accord Power?
### Plug-in Solar: A New Opportunity Or A New Challenge For The Solar Industry?
- [![NYSERDA logo](https://accordpower.com/wp-content/uploads/2024/01/NYSERDA_QualitySolarInstaller-2024-003.png)](https://www.nyserda.ny.gov/All-Programs/NY-Sun/Solar-for-Your-Home/How-to-Go-Solar/Find-a-contractor/Residential-Installers)
- [![NY SEIA logo](https://accordpower.com/wp-content/uploads/2023/07/NYSEIA_Logo_nofullname140width2.png)](https://www.nyseia.org/)
- [![BBB logo](https://accordpower.com/wp-content/uploads/2025/03/AB-seal-horz.svg.svg)](https://www.bbb.org/us/ny/flushing/profile/solar-installation/accord-power-inc-0121-87178075)","candidate_found",""
"SunLight General Capital, LLC","sunlight general capital","91","81","81","2025-07-02","2026-01-30","Brooklyn | New York | Larchmont | Montrose | West Coxsackie | Kingston | Clinton | Sandy Creek","Kings | New York | Westchester | Greene | Ulster | Oneida | Oswego","941","Find official domain, then audit careers/jobs pages for detailed solar offers.","""SunLight General Capital, LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BF05764BA-2439-406A-9335-CC05C4DA99F7%7D","SunLight General Capital LLC 135 East 57th Street, Floor 16 ...","(including subsidiaries and parent corporations) within New York State or elsewhere. ... SunLight General Capital LLC.","candidate_found",""
"Fieldston Power LLC","fieldston power","84","39","84","2026-06-03","2026-07-27","Bronx | Elmhurst | Brooklyn | New York","Bronx | Queens | Kings | New York","614","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Fieldston Power LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/PTC/der","NYS Power To Choose - Search / Commission Files","Solar. Fieldston Power LLC, Fieldston Power LLC. 5932 Liebig Avenue Bronx, NY, 10471. (856) 296-1352. adam@fieldstonpower.com · https://http://www.","candidate_found",""
"Sunkeeper Solar LLC","sunkeeper solar","100","33","71","2026-07-29","2026-07-23","New York | Far Rockaway | Kew Gardens | Flushing | Astoria | Brooklyn | Jamaica | Sunnyside","New York | Queens | Kings | Richmond | Bronx","527","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sunkeeper Solar LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/sunkeeper-solar-llc/561886568","Sunkeeper Solar - Overview, News & Similar companies | ZoomInfo.com","... New York City and its metropolitan area. The company employs a skilled ... Popular SearchesSunKeeper Solar LLCSunkeeper SolarSunkeeper Solar Electric LLC ...","candidate_found",""
"Nexamp Inc","nexamp","124","28","22","2026-02-18","2026-07-13","Mount Kisco | New Hampton | Sparrow Bush | Warwick | Middletown | Accord | Goshen | Bloomingburg","Westchester | Orange | Ulster | Albany | Greene | Dutchess | Columbia | Rensselaer","340","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Nexamp Inc"" solar contractor New York official website","nexamp.com","https://www.nexamp.com/","Nexamp - We're Building the Future of Clean Energy","Average annual savings per community solar customer. 0 Years. Consecutive top solar contractor ... 2026 Nexamp, Inc. | Terms of Use | Privacy Policy | Site Map | ...","candidate_found",""
"Madison Energy Holding LLC","madison energy holding","24","22","12","2026-05-08","2026-06-24","Altamont | Malone | Evans Mills | Binghamton | Cortland | Memphis | Elmira | Cazenovia","Albany | Franklin | Jefferson | Broome | Cortland | Onondaga | Chemung | Madison","236","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Madison Energy Holding LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Madison Energy Holding LLC 8484 Westpark Drive, Suite 720 McLean, Virginia ... RESunance, LLC. 298 HY VU DR EVERGREEN, Colorado 80439. RIC Development, LLC 17 ...","candidate_found",""
"Catalyze Holdings, LLC","catalyze holdings","51","20","17","2024-01-06","2026-02-13","College Point | Maspeth | Selkirk | Hermon | Altona | Potsdam | Mohawk | Newark","Queens | Albany | St Lawrence | Clinton | Herkimer | Wayne | Onondaga | Montgomery","261","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Catalyze Holdings, LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/catalyze/353371402","Catalyze - Overview, News & Similar companies","Popular SearchesCatalyzeCatalyze LLCCatalyze IncCatalyze Holdings LLCCatalyze Charlton 299 Worcester Road Microgrid LLC ... solar projects in New York from hep ...","candidate_found",""
"Distributed Asset Solutions LLC","distributed asset solutions","58","20","13","2026-01-17","2026-06-08","Pine Bush | Wallkill | Woodbourne | Ferndale | Hudson | Waterford | Mooers Forks | Ballston Spa","Ulster | Sullivan | Columbia | Saratoga | Clinton | Tioga | Tompkins | Cayuga","249","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Distributed Asset Solutions LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Distributed Asset Solutions LLC Link opens in new window - close new window ... RP New York Solar, LLC Link opens in new window - close new window to ...","candidate_found",""
"RIC Development, LLC","ric development","17","17","16","2026-06-17","","Clinton | Coeymans Hollow | Voorheesville | Natural Bridge | Oswego | Williamstown | Ontario | Newark","Oneida | Albany | Jefferson | Oswego | Wayne | Erie | Steuben | Niagara","201","Find official domain, then audit careers/jobs pages for detailed solar offers.","""RIC Development, LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B8238DD97-C34F-42C3-A136-1C1726FF5A5E%7D","[PDF] RIC Development, LLC 85 Broad St., Floor 28 New York NY (917) 463 ...","involves the installation of distributed generation equipment, such as solar panels, on the property of ... RIC Development, LLC.","candidate_found",""
"Bullrock Corporation","bullrock","29","16","13","2026-04-21","2026-05-20","East Bloomfield | Bennington | Campbell | Mohegan Lake | Ferndale | Middletown | Stamford | Catskill","Ontario | Wyoming | Steuben | Westchester | Sullivan | Orange | Delaware | Greene","196","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Bullrock Corporation"" solar contractor New York official website","bullrockrealestate.com","https://www.bullrockrealestate.com/team","Gregg Beldock - Bullrock","... New York area and northern New England, where Gregg is the owner of Bullrock Corporation. His experience as a construction manager for large regional ...","candidate_found",""
