businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,serperQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Accord Power Inc","accord power","1079","366","736","2026-07-21","2026-07-31","Bronx | Brooklyn | Flushing | Fresh Meadows | Centereach | Jamaica | Miller Place | Woodside","Bronx | Kings | Queens | Suffolk | Nassau | Richmond | New York | Westchester","5186","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Accord Power Inc"" solar contractor New York official website","accordpower.com","https://accordpower.com/","The Tri-State Area's Premier Solar Installer - Accord Power Inc ...","Contact Us · Accord Power Inc Logo. (718) 321-8820. commercial@accordpowerinc.com · residential@accordpowerinc.com. 11-02 37th Ave Long Island City, NY 11101.","candidate_found",""
"SunLight General Capital, LLC","sunlight general capital","91","81","81","2025-07-02","2026-01-30","Brooklyn | New York | Larchmont | Montrose | West Coxsackie | Kingston | Clinton | Sandy Creek","Kings | New York | Westchester | Greene | Ulster | Oneida | Oswego","941","Find official domain, then audit careers/jobs pages for detailed solar offers.","""SunLight General Capital, LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7BF05764BA-2439-406A-9335-CC05C4DA99F7%7D","SunLight General Capital LLC 135 East 57th Street, Floor 16 ...","(including subsidiaries and parent corporations) within New York State or elsewhere. ... SunLight General Capital LLC.","candidate_found",""
"Fieldston Power LLC","fieldston power","84","39","84","2026-06-03","2026-07-27","Bronx | Elmhurst | Brooklyn | New York","Bronx | Queens | Kings | New York","614","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Fieldston Power LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/PTC/der","Distributed Energy Resources (DER) - Search / Commission Files","Solar. Fieldston Power LLC, Fieldston Power LLC. 5932 Liebig Avenue Bronx, NY, 10471. (856) 296-1352. adam@fieldstonpower.com · https://http://www.","candidate_found",""
"Sunkeeper Solar LLC","sunkeeper solar","100","33","71","2026-07-29","2026-07-23","New York | Far Rockaway | Kew Gardens | Flushing | Astoria | Brooklyn | Jamaica | Sunnyside","New York | Queens | Kings | Richmond | Bronx","527","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Sunkeeper Solar LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/sunkeeper-solar-llc/561886568","Sunkeeper Solar - Overview, News & Similar companies | ZoomInfo.com","... New York City and its metropolitan area. The company employs a skilled ... Popular SearchesSunKeeper Solar LLCSunkeeper SolarSunkeeper Solar Electric LLC ...","candidate_found",""
"Nexamp Inc","nexamp","124","28","22","2026-02-18","2026-07-13","Mount Kisco | New Hampton | Sparrow Bush | Warwick | Middletown | Accord | Goshen | Bloomingburg","Westchester | Orange | Ulster | Albany | Greene | Dutchess | Columbia | Rensselaer","340","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Nexamp Inc"" solar contractor New York official website","nexamp.com","https://www.nexamp.com/","Nexamp - We're Building the Future of Clean Energy","Average annual savings per community solar customer. 0 Years. Consecutive top solar contractor ... 2026 Nexamp, Inc. | Terms of Use | Privacy Policy | Site Map | ...","candidate_found",""
"Madison Energy Holding LLC","madison energy holding","24","22","12","2026-05-08","2026-06-24","Altamont | Malone | Evans Mills | Binghamton | Cortland | Memphis | Elmira | Cazenovia","Albany | Franklin | Jefferson | Broome | Cortland | Onondaga | Chemung | Madison","236","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Madison Energy Holding LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Madison Energy Holding LLC 8484 Westpark Drive, Suite 720 McLean, Virginia ... RESunance, LLC. 298 HY VU DR EVERGREEN, Colorado 80439. RIC Development, LLC 17 ...","candidate_found",""
"Catalyze Holdings, LLC","catalyze holdings","51","20","17","2024-01-06","2026-02-13","College Point | Maspeth | Selkirk | Hermon | Altona | Potsdam | Mohawk | Newark","Queens | Albany | St Lawrence | Clinton | Herkimer | Wayne | Onondaga | Montgomery","261","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Catalyze Holdings, LLC"" solar contractor New York official website","zoominfo.com","https://www.zoominfo.com/c/catalyze/353371402","Catalyze - Overview, News & Similar companies","Popular SearchesCatalyzeCatalyze LLCCatalyze IncCatalyze Holdings LLCCatalyze Charlton 299 Worcester Road Microgrid LLC ... solar projects in New York from hep ...","candidate_found",""
"Distributed Asset Solutions LLC","distributed asset solutions","58","20","13","2026-01-17","2026-06-08","Pine Bush | Wallkill | Woodbourne | Ferndale | Hudson | Waterford | Mooers Forks | Ballston Spa","Ulster | Sullivan | Columbia | Saratoga | Clinton | Tioga | Tompkins | Cayuga","249","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Distributed Asset Solutions LLC"" solar contractor New York official website","nyserda.my.salesforce-sites.com","https://nyserda.my.salesforce-sites.com/FindAContractorNYSun?programname=NY-Sun%20-%20Commercial%20&%20Industrial","Find A Contractor NYSun","Distributed Asset Solutions LLC Link opens in new window - close new window ... RP New York Solar, LLC Link opens in new window - close new window to ...","candidate_found",""
"RIC Development, LLC","ric development","17","17","16","2026-06-17","","Clinton | Coeymans Hollow | Voorheesville | Natural Bridge | Oswego | Williamstown | Ontario | Newark","Oneida | Albany | Jefferson | Oswego | Wayne | Erie | Steuben | Niagara","201","Find official domain, then audit careers/jobs pages for detailed solar offers.","""RIC Development, LLC"" solar contractor New York official website","documents.dps.ny.gov","https://documents.dps.ny.gov/public/Common/ViewDoc.aspx?DocRefId=%7B8238DD97-C34F-42C3-A136-1C1726FF5A5E%7D","[PDF] RIC Development, LLC 85 Broad St., Floor 28 New York NY (917) 463 ...","involves the installation of distributed generation equipment, such as solar panels, on the property of ... RIC Development, LLC.","candidate_found",""
"Bullrock Corporation","bullrock","29","16","13","2026-04-21","2026-05-20","East Bloomfield | Bennington | Campbell | Mohegan Lake | Ferndale | Middletown | Stamford | Catskill","Ontario | Wyoming | Steuben | Westchester | Sullivan | Orange | Delaware | Greene","196","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Bullrock Corporation"" solar contractor New York official website","bullrockrealestate.com","https://www.bullrockrealestate.com/team","Gregg Beldock - Bullrock","... New York area and northern New England, where Gregg is the owner of Bullrock Corporation. His experience as a construction manager for large regional ...","candidate_found",""
"BEST ENERGY POWER","best energy power","610","15","78","2026-04-01","2026-07-31","East Hampton | Ronkonkoma | Port Jefferson Station | Riverhead | Amityville | Massapequa | Westbury | Great Neck","Suffolk | Nassau | Queens | Kings | Richmond | New York | Bronx | Westchester","404","Find official domain, then audit careers/jobs pages for detailed solar offers.","""BEST ENERGY POWER"" solar contractor New York official website","bestenergypower.com","https://www.bestenergypower.com/","Solar Panels | Best Energy Power™","Best Energy Power™ has become a trusted name in the industry. We are accredited by the Better Business Bureau (BBB). We consistently deliver the highest level ...","candidate_found",""
"PowerFlex Solar, LLC","powerflex solar","77","14","10","2026-04-15","2025-09-03","Ronkonkoma | Holtsville | Islip Terrace | Hauppauge | Sayville | Westbury | Mineola | Port Washington","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | Westchester | Orange","192","Find official domain, then audit careers/jobs pages for detailed solar offers.","""PowerFlex Solar, LLC"" solar contractor New York official website","nycourts.gov","https://www.nycourts.gov/reporter/3dseries/2024/2024_04102.htm","Powerflex Solar, LLC v Solar PV Pros, LLC (2024 ...","Powerflex Solar, LLC v Solar PV Pros, LLC. 2024 NY Slip Op 04102 [230 AD3d 834]. August 1, 2024. Appellate Division, Third Department. Published ...","candidate_found",""
"Green Street Power Partners, LLC","green street power partners","432","13","11","2026-01-28","2026-07-07","Shoreham | Oyster Bay | Massapequa | Fresh Meadows | College Point | Jamaica | Ozone Park | Rockaway Park","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","187","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Green Street Power Partners, LLC"" solar contractor New York official website","gspowerpartners.com","https://gspowerpartners.com/","GS Power Partners | Independent Power Producer","Sign up to receive our insights, news and industry analysis about the DG solar and energy storage sectors. ... Copyright 2026, Green Street Power Partners, LLC.","candidate_found",""
"Lightstar Renewables LLC","lightstar renewables","13","13","8","2026-06-17","","Montgomery | Ulster | Slate Hill | New Windsor | Walden | Chester | Hannacroix | Florida","Orange | Ulster | Greene | Dutchess | Saratoga | Jefferson","141","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Lightstar Renewables LLC"" solar contractor New York official website","lightstar.com","https://www.lightstar.com/news/55-plains-road-project-press","Lightstar and the 55 Plains Road community solar project","About Lightstar Renewables LLC ... Founded in 2019 and headquartered in Boston, Lightstar Renewables is leading the industry in community solar ...","candidate_found",""
"Generate Capital","generate capital","98","12","22","2025-01-15","2026-06-10","Crown Point | Lyons | Baldwinsville | Westtown | Otisville | Port Jervis | Montgomery | Goshen","Essex | Wayne | Onondaga | Orange | Sullivan | Greene | Albany | Ulster","212","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Generate Capital"" solar contractor New York official website","generatecapital.com","https://generatecapital.com/","Generate Capital","Generate Capital, an investment firm focused on sustainability and infrastructure, raised $1.5 billion in new equity from an investor group including the ...","candidate_found",""
"AMS Construction Corp","ams construction","27","12","16","2025-12-10","2025-04-22","Astoria | Brooklyn | Staten Island | New York | Bronx | Germantown","Queens | Kings | Richmond | New York | Bronx | Columbia","171","Find official domain, then audit careers/jobs pages for detailed solar offers.","""AMS Construction Corp"" solar contractor New York official website","amsepc.com","https://www.amsepc.com/","AMS Renewable Energy | Solar Construction & EPC Experts","Headquartered in White Plains, NY, AMS is a licensed contractor operating nationwide. ... © 2026 AMS Construction Corp. A: 4 W Red Oak Lane, White Plains, NY ...","candidate_found",""
"Abundant Solar Power Inc.","abundant solar power","24","12","12","2026-05-20","2025-10-17","Middletown | Buffalo | Skaneateles Falls | Conklin | Cazenovia | Syracuse | East Syracuse | Elmira","Delaware | Erie | Onondaga | Broome | Madison | Chemung | Wayne | Monroe","156","Find official domain, then audit careers/jobs pages for detailed solar offers.","""Abundant Solar Power Inc."" solar contractor New York official website","abundantsolarpower.com","https://abundantsolarpower.com/wp-content/uploads/2024/05/Abundant_Rice-Road-Solar_IFP-REV3_05152024.pdf","rice rd. east bloomfield, ny 14469 - Abundant Solar Power","ABUNDANT SOLAR POWER, INC. 300 State Street, Suite 201. Rochester, NY 14614. 585-454-6110 labellapc.com.","candidate_found",""
