licenseNumber,businessName,cityStateZip,candidateDomain,careerUrl,jobUrls,jobUrlCount,validJobPages,maxDescriptionWords,atsDetected,jobPostingDetected,auditStatus,auditReason
37740,1 SOLAR SOLUTION LLC,FRISCO TX 75033-8695,1solarsolution.com,https://1solarsolution.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
30667,512 SOLAR LLC,AUSTIN TX 78746-6446,512solar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
27328,ADVANCED SOLAR AND ELECTRIC LLC,CIBOLO TX 78108-3506,advancedsolar.com,https://advancedsolar.com/site-cannot-be-accessed-from-your-current-location.html,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
37216,AFFORDABLE SOLAR ROOF & AIR LLC,TOMBALL TX 77375-8293,solarroofair.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
36998,AMERICAN DREAM SOLAR LLC,CROWLEY TX 76036-4142,adsolarusa.com,https://adsolarusa.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
36379,ASAP SOLAR LLC,TYLER TX 75703-6537,asapsolar.com,https://asapsolar.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
35675,"ASTRAWATT SOLAR, LLC",WEBSTER TX 77598-2336,astrawatt.solar,https://www.astrawatt.solar/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
37831,ATX SOLAR LLC,HUTTO TX 78634-2513,goatxsolar.com,https://goatxsolar.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
33639,AXIS SOLAR LLC,AUSTIN TX 78704,axis-solar.com,https://www.axis-solar.com/careers/,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
25739,AXIUM SOLAR INC,MCKINNEY TX 75071,axiumsolar.com,https://axiumsolar.com/,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
30973,"BIG DOG RENEWABLE ENERGY, LLC",CHUBBUCK ID 83202-4908,bigdogenergy.com,,,0,0,0,false,false,audit_error,fetch failed
38748,CC SOLAR,CORPUS CHRISTI TX 78401-3255,ccsolarenergy.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
34933,CENTRAL TEXAS SOLAR LLC,SAN ANTONIO TX 78213,solar.com,https://www.solar.com/careers/,https://www.solar.com/careers/senior-full-stack-engineer/|https://www.solar.com/careers/product-manager/|https://www.solar.com/careers/solar-pricing-analyst/|https://www.solar.com/careers/energy-advisor/|https://www.solar.com/careers/installer-partnerships-manager/|https://www.solar.com/careers/growth-marketer/,6,0,738,false,false,rejected_incomplete_job_pages,"Only 0/3 pages had location, employment type, structure and 300+ words."
32697,CIRCLE L SOLAR INC,FORT WORTH TX 76117,circlelsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
35647,COMPLETE SOLAR INC,OREM UT 84097,completesolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
39972,CREATUM SOLAR LLC,HOUSTON TX 77066-1003,creatumsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
37519,CUSTOM PRO ROOFING & SOLAR,DALLAS TX 75229,custompro.us,https://custompro.us/careers/,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
22994,CUSTOM SOLAR ELECTRIC,AUSTIN TX 78748,customsolarelectric.com,,,0,0,0,false,false,audit_error,Homepage HTTP 500
37071,"DAWN TO DUSK SOLAR TEXAS, LLC",FARMERS BRANCH TX 75234,solardawntodusk.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
40536,DETACH RESET SOLAR LLC,AUSTIN TX 78731-4298,detachresetsolar.com,https://detachresetsolar.com/careers/,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
29469,DFW SOLAR ELECTRIC LLC,FLOWER MOUND TX 75022,dfwsolarelectric.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
38038,EAGLE SOLAR POWER LLC,MANSFIELD TX 76063,eaglesolarpower.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
40318,"EARTH SMART SOLAR, LLC",SAN ANTONIO TX 78258,earthsmartsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
33539,EASTEX SOLAR,PALESTINE TX 75803-0625,eastexsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
37330,ECLIPSE SOLAR & HOME SOLUTIONS INC.,AUSTIN TX 78731-4298,eclipsesolar.net,,,0,0,0,false,false,audit_error,fetch failed
36539,"ELIAS SOLAR, INC.",HOUSTON TX 77018-5044,elias.solar,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
38765,EMPOWER SOLAR INC,HOUSTON TX 77066-1216,empoweryourhome.com,https://www.empoweryourhome.com/careers,,0,0,0,true,false,rejected_ats_detected,Known ATS domain or embed detected.
39263,EMPWR SOLAR LLC,MOUNT PLEASANT SC 29464,empwrsolar.com,https://www.empwrsolar.com/join-us,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
29616,"ENPHASE ENERGY, INC.",FREMONT CA 94538-6517,enphase.com,https://enphase.com/careers,,0,0,0,true,false,rejected_ats_detected,Known ATS domain or embed detected.
40035,EPC SOLAR LLC,ALEDO TX 76008-1844,epcsolarnj.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
35996,FAMILY SOLAR COMPANY,FRISCO TX 75034,familysolarcompany.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
37970,GLOBAL SOLAR GROUP,EL PASO TX 79936,globalsolargrp.com,,,0,0,0,false,false,audit_error,fetch failed
36814,GLYDE SOLAR LLC,PLEASANT GROVE UT 84062,glydesolar.com,https://glydesolar.com/careers,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
35375,GO SOLAR POWER LLC,ADDISON TX 75001,gosolarpower.com,https://www.gosolarpower.com/careers/,,0,0,0,false,false,rejected_insufficient_job_urls,Only 0/3 internal detailed job URLs found.
32051,GREEN LIGHT SOLAR LLC,HOUSTON TX 77032-4087,https://n/a,,,0,0,0,false,false,audit_error,fetch failed
28367,GREENBELT SOLAR LLC,AUSTIN TX 78745,greenbeltsolar.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
38037,HARVEST SOLAR INC.,GARLAND TX 75040,harvestsolarinc.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
36117,"HARVEST SOLAR OF TEXAS, LLC",HOUSTON TX 77035,harvestsolaroftexas.com,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
38471,IMMEDIATE SOLAR LLC,RICHARDSON TX 75081-1865,immediatesolar.org,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
31105,INFINITY SOLAR SOLUTIONS LLC,SAN ANGELO TX 76903,infinitysolarsolutions.net,,,0,0,0,false,false,rejected_no_careers_page,No provider-hosted careers/jobs landing page found from homepage or standard paths.
