licenseNumber,businessName,cityStateZip,candidateDomain,sources,status
37740,1 SOLAR SOLUTION LLC,FRISCO TX 75033-8695,1solarsolution.com,clearout,candidate_found
30667,512 SOLAR LLC,AUSTIN TX 78746-6446,512solar.com,clearout,candidate_found
27328,ADVANCED SOLAR AND ELECTRIC LLC,CIBOLO TX 78108-3506,advancedsolar.com,clearout,candidate_found
37216,AFFORDABLE SOLAR ROOF & AIR LLC,TOMBALL TX 77375-8293,solarroofair.com,clearout,candidate_found
36596,ALPHA SOLAR SOLUTIONS LLC,SAN ANTONIO TX 78228-1417,alphasolarsolutions.com|alphasolarsa.com,clearout|dataforseo,conflicting_domains
36998,AMERICAN DREAM SOLAR LLC,CROWLEY TX 76036-4142,adsolarusa.com,clearout|dataforseo,candidate_found
36379,ASAP SOLAR LLC,TYLER TX 75703-6537,asapsolar.com,dataforseo,candidate_found
35675,"ASTRAWATT SOLAR, LLC",WEBSTER TX 77598-2336,astrawatt.solar,clearout,candidate_found
37831,ATX SOLAR LLC,HUTTO TX 78634-2513,goatxsolar.com,clearout,candidate_found
33639,AXIS SOLAR LLC,AUSTIN TX 78704,axis-solar.com,clearout,candidate_found
25739,AXIUM SOLAR INC,MCKINNEY TX 75071,axiumsolar.com,clearout,candidate_found
30973,"BIG DOG RENEWABLE ENERGY, LLC",CHUBBUCK ID 83202-4908,bigdogenergy.com,clearout,candidate_found
38748,CC SOLAR,CORPUS CHRISTI TX 78401-3255,ccsolarenergy.com,dataforseo,candidate_found
34933,CENTRAL TEXAS SOLAR LLC,SAN ANTONIO TX 78213,solar.com,clearout,candidate_found
32697,CIRCLE L SOLAR INC,FORT WORTH TX 76117,circlelsolar.com,clearout,candidate_found
35647,COMPLETE SOLAR INC,OREM UT 84097,completesolar.com,clearout,candidate_found
39972,CREATUM SOLAR LLC,HOUSTON TX 77066-1003,creatumsolar.com,clearout,candidate_found
37519,CUSTOM PRO ROOFING & SOLAR,DALLAS TX 75229,custompro.us,clearout,candidate_found
22994,CUSTOM SOLAR ELECTRIC,AUSTIN TX 78748,customsolarelectric.com,clearout,candidate_found
37071,"DAWN TO DUSK SOLAR TEXAS, LLC",FARMERS BRANCH TX 75234,solardawntodusk.com,clearout,candidate_found
40536,DETACH RESET SOLAR LLC,AUSTIN TX 78731-4298,detachresetsolar.com,clearout,candidate_found
29469,DFW SOLAR ELECTRIC LLC,FLOWER MOUND TX 75022,dfwsolarelectric.com,clearout,candidate_found
