licenseNumber,businessName,cityStateZip,candidateDomain,matchedCompanyName,confidenceScore,status,error
37740,1 SOLAR SOLUTION LLC,FRISCO TX 75033-8695,1solarsolution.com,"1 Solar Solution, LLC",99,candidate_found,
36998,AMERICAN DREAM SOLAR LLC,CROWLEY TX 76036-4142,adsolarusa.com,American Dream Solar LLC,99,candidate_found,
37519,CUSTOM PRO ROOFING & SOLAR,DALLAS TX 75229,custompro.us,Custom Pro Roofing & Solar,99,candidate_found,
22994,CUSTOM SOLAR ELECTRIC,AUSTIN TX 78748,customsolarelectric.com,Custom Solar Electric,99,candidate_found,
29469,DFW SOLAR ELECTRIC LLC,FLOWER MOUND TX 75022,dfwsolarelectric.com,DFW Solar Electric LLC,99,candidate_found,
36539,"ELIAS SOLAR, INC.",HOUSTON TX 77018-5044,elias.solar,"Elias Solar, Inc.",99,candidate_found,
38765,EMPOWER SOLAR INC,HOUSTON TX 77066-1216,empoweryourhome.com,"Empower Solar, Inc",99,candidate_found,
35996,FAMILY SOLAR COMPANY,FRISCO TX 75034,familysolarcompany.com,Family Solar Company,99,candidate_found,
37970,GLOBAL SOLAR GROUP,EL PASO TX 79936,globalsolargrp.com,GLOBAL SOLAR GROUP,99,candidate_found,
28367,GREENBELT SOLAR LLC,AUSTIN TX 78745,greenbeltsolar.com,Greenbelt Solar LLC,99,candidate_found,
36117,"HARVEST SOLAR OF TEXAS, LLC",HOUSTON TX 77035,harvestsolaroftexas.com,"Harvest Solar of Texas, LLC",99,candidate_found,
32960,INFINITY SOLAR,,,Infinity Solar,81,ambiguous_match,
31105,INFINITY SOLAR SOLUTIONS LLC,SAN ANGELO TX 76903,infinitysolarsolutions.net,"INFINITY SOLAR SOLUTIONS, LLC",99,candidate_found,
36120,INFINITY SOLAR USA,FARMERS BRANCH TX 75234,infinitysolarusa.com,Infinity Solar USA,99,candidate_found,
39177,LPL SOLAR LLC,FORT LAUDERDALE FL 33316-4126,lplsolar.com,LPL Solar LLC,99,candidate_found,
37254,MCF SOLAR LLC,LUFKIN TX 75901-5729,mcfsolar.com,MCF Solar LLC,99,candidate_found,
36893,NEXT GENERATION SOLAR,FORT WORTH TX 76179,nextgenerationsolar.org,Next Generation Solar,94,candidate_found,
31318,ONE80 SOLAR,SAN ANTONIO TX 78204-1638,one80solar.com,One80 Solar,99,candidate_found,
36125,"QUANTUM SOLAR POWER, LLC",EL PASO TX 79905,qtmsolar.com,"Quantum Solar Power, LLC",99,candidate_found,
35709,"SECURITY SOLAR, LLC",ROUND ROCK TX 78665,,SOLAR UNION SECURITY LLC,99,ambiguous_match,
35385,SOLAR ALTERNATIVES INC,HARAHAN LA 70123-2155,,"Solar Alternatives, Inc. - Shreveport",99,ambiguous_match,
33215,SOLAR EDGE PROS LLC,SAN ANTONIO TX 78216-2621,solaredgepros.com,Solar Edge Pros LLC,99,candidate_found,
18011,SOLAR ELECTRIC TEXAS LLC,SAN ANTONIO TX 78229,solarelectrictexas.com,SOLAR ELECTRIC TEXAS LLC,99,candidate_found,
38546,SOLAR PLUS LLC,MIDLOTHIAN TX 76065-4588,solarplusllc.com,"Solar Plus, LLC",99,candidate_found,
27852,"SOLAR SMART LIVING, LLC",SANTA TERESA NM 88008,solarsmartliving.com,"Solar Smart Living, LLC",99,candidate_found,
33434,"SOLAR SME, INC.",DALLAS TX 75212-7612,solarsme.com,"Solar SME, Inc.",99,candidate_found,
30019,SOUTH TEXAS SOLAR SYSTEMS,SAN ANTONIO TX 78217-4449,txsolarsystems.com,"South Texas Solar Systems, Inc.",99,candidate_found,
36510,STARALT SOLAR,MCALLEN TX 78501,staraltsolar.com,StarAlt Solar,99,candidate_found,
35852,STG SOLAR,PISGAH FOREST NC 28768,stgsolarco.com,STG Solar,99,candidate_found,
35309,TEXAS BEST SOLAR,LEWISVILLE TX 75057,texasbestsolar.com,Texas Best Solar,99,candidate_found,
30629,TEXAS SOLAR ENERGY,HUMBLE TX 77396-6046,texsolarenergy.com,TEXAS SOLAR ENERGY,99,candidate_found,
26492,TEXAS SOLAR POWER COMPANY,AUSTIN TX 78723-1074,txspc.com,Texas Solar Power Company,99,candidate_found,
38354,TEXON SOLAR ENERGY LLC,ALVIN TX 77511-7807,texonsolar.com,Texon Solar Energy LLC,99,candidate_found,
26497,"WRIGHT WAY SOLAR TECHNOLOGIES, LLC",TYLER TX 75703,wright-way.com,"Wright-Way Solar Technologies, LLC",99,candidate_found,
36276,RENEWABLE POWER SOLUTIONS,GRANBURY TX 76048-5894,rps-solar.com,"Renewable Power Solutions, Inc.",99,candidate_found,
34554,180 SOLAR & ELECTRIC LTD,AUSTIN TX 78749-1152,,,,no_domain_candidate,
30667,512 SOLAR LLC,AUSTIN TX 78746-6446,512solar.com,512 Solar,99,candidate_found,
37408,A.V.I. LLC DBA SOLAR SUNNY SIDE UP,SAN ANTONIO TX 78217,,,,no_domain_candidate,
39240,ABEL SOLAR,KATY TX 77494-6723,,,,no_domain_candidate,
41796,AC SOLAR & ELECTRIC LLC,LAS CRUCES NM 88001-1563,,,,no_domain_candidate,
31823,ACCURATE ELECTRIC AND SOLAR LLC,EL PASO TX 79938-5346,,,,no_domain_candidate,
35072,ADAMES ELECTRIC & SOLAR LLC,BALCH SPRINGS TX 75180-2479,,Adames Electric and Solar,99,ambiguous_match,
27328,ADVANCED SOLAR AND ELECTRIC LLC,CIBOLO TX 78108-3506,advancedsolar.com,Advanced Solar and Electric L.L.C.,99,candidate_found,
37216,AFFORDABLE SOLAR ROOF & AIR LLC,TOMBALL TX 77375-8293,solarroofair.com,"Affordable Solar, Roof, & Air",99,candidate_found,
36596,ALPHA SOLAR SOLUTIONS LLC,SAN ANTONIO TX 78228-1417,alphasolarsolutions.com,Alpha Solar Solutions,99,candidate_found,
40308,ARC SOLAR & EV SOLUTIONS,LYTLE TX 78052-3560,,,,no_domain_candidate,
26176,ARIZONA SOLAR SOLUTIONS INC,FORT WORTH TX 76137-6933,,,,no_domain_candidate,
36379,ASAP SOLAR LLC,TYLER TX 75703-6537,,,,no_domain_candidate,
35675,"ASTRAWATT SOLAR, LLC",WEBSTER TX 77598-2336,astrawatt.solar,Astrawatt Solar,99,candidate_found,
40305,ATOM ELECTRIC AND SOLAR,FORT WORTH TX 76111-1805,,,,no_domain_candidate,
37831,ATX SOLAR LLC,HUTTO TX 78634-2513,goatxsolar.com,ATX Solar,99,candidate_found,
35834,AWAKE SOLAR LLC,HOUSTON TX 77085,,,,no_domain_candidate,
37167,AXIA SOLAR CORP,IRVINE CA 92618-5021,,,,no_domain_candidate,
33639,AXIS SOLAR LLC,AUSTIN TX 78704,axis-solar.com,Axis Solar,99,candidate_found,
25739,AXIUM SOLAR INC,MCKINNEY TX 75071,axiumsolar.com,Axium Solar,99,candidate_found,
41667,BLACK WOLF SOLAR LLC,DALLAS TX 75254,,,,no_domain_candidate,
41450,BRAVO ZULU SOLAR LLC,SPRINGTOWN TX 76082-5478,,,,no_domain_candidate,
35724,BUMBLEBEE SOLAR LLC,HUMBLE TX 77396-2712,,,,no_domain_candidate,
38748,CC SOLAR,CORPUS CHRISTI TX 78401-3255,,,,no_domain_candidate,
34933,CENTRAL TEXAS SOLAR LLC,SAN ANTONIO TX 78213,solar.com,CENTRAL TEXAS SOLAR,99,candidate_found,
33086,CEP ELECTRIC & SOLAR LLC,MCALLEN TX 78501-5977,,,,no_domain_candidate,
38249,"CILCIA, LLC VALOR SOLAR",DAMON TX 77430-8673,,,,no_domain_candidate,
32697,CIRCLE L SOLAR INC,FORT WORTH TX 76117,circlelsolar.com,Circle L Solar,99,candidate_found,
38106,CMB SOLAR SOLUTIONS LLC,EL PASO TX 79912-4655,,,,no_domain_candidate,
