licenseNumber,businessName,cityStateZip,candidateDomain,candidateUrl,matchedListingTitle,matchScore,status,error
37740,1 SOLAR SOLUTION LLC,FRISCO TX 75033-8695,,,"1 Solar Solution, LLC",90,no_trusted_official_domain,
34554,180 SOLAR & ELECTRIC LTD,AUSTIN TX 78749-1152,,,,0,no_trusted_official_domain,
30667,512 SOLAR LLC,AUSTIN TX 78746-6446,,,,0,no_trusted_official_domain,
37408,A.V.I. LLC DBA SOLAR SUNNY SIDE UP,SAN ANTONIO TX 78217,,,,0,no_trusted_official_domain,
39240,ABEL SOLAR,KATY TX 77494-6723,,,ABEL SOLAR,60,no_trusted_official_domain,
41796,AC SOLAR & ELECTRIC LLC,LAS CRUCES NM 88001-1563,,,,0,no_trusted_official_domain,
31823,ACCURATE ELECTRIC AND SOLAR LLC,EL PASO TX 79938-5346,,,,0,no_trusted_official_domain,
35072,ADAMES ELECTRIC & SOLAR LLC,BALCH SPRINGS TX 75180-2479,,,,0,no_trusted_official_domain,
27328,ADVANCED SOLAR AND ELECTRIC LLC,CIBOLO TX 78108-3506,,,,0,no_trusted_official_domain,
37216,AFFORDABLE SOLAR ROOF & AIR LLC,TOMBALL TX 77375-8293,,,,0,no_trusted_official_domain,
36596,ALPHA SOLAR SOLUTIONS LLC,SAN ANTONIO TX 78228-1417,alphasolarsa.com,http://www.alphasolarsa.com/,"ALPHA SOLAR SOLUTIONS, LLC",160,candidate_found,
36998,AMERICAN DREAM SOLAR LLC,CROWLEY TX 76036-4142,adsolarusa.com,https://www.adsolarusa.com/,American Dream Solar LLC,60,candidate_found,
40308,ARC SOLAR & EV SOLUTIONS,LYTLE TX 78052-3560,,,,0,no_trusted_official_domain,
26176,ARIZONA SOLAR SOLUTIONS INC,FORT WORTH TX 76137-6933,,,,0,no_trusted_official_domain,
36379,ASAP SOLAR LLC,TYLER TX 75703-6537,asapsolar.com,https://www.asapsolar.com/,ASAP Solar LLC,90,candidate_found,
35675,"ASTRAWATT SOLAR, LLC",WEBSTER TX 77598-2336,,,,0,no_trusted_official_domain,
40305,ATOM ELECTRIC AND SOLAR,FORT WORTH TX 76111-1805,,,,0,no_trusted_official_domain,
37831,ATX SOLAR LLC,HUTTO TX 78634-2513,,,,0,no_trusted_official_domain,
35834,AWAKE SOLAR LLC,HOUSTON TX 77085,,,,0,no_trusted_official_domain,
37167,AXIA SOLAR CORP,IRVINE CA 92618-5021,,,,0,no_trusted_official_domain,
33639,AXIS SOLAR LLC,AUSTIN TX 78704,,,,0,no_trusted_official_domain,
