licenseNumber,licenseExpirationDate,businessName,contactName,cityStateZip,county,zip,phone,businessAddress,solarSignal,targetScore,nextStep
37740,2027-02-16,1 SOLAR SOLUTION LLC,1 SOLAR SOLUTION LLC,FRISCO TX 75033-8695,DENTON,75033,9725717616,5000 ELDORADO PKWY ST  150 274,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
34554,2027-06-11,180 SOLAR & ELECTRIC LTD,180 SOLAR & ELECTRIC LTD,AUSTIN TX 78749-1152,TRAVIS,78749,5125766068,4921 NORMAN TRL,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
30667,2027-01-07,512 SOLAR LLC,512 SOLAR LLC,AUSTIN TX 78746-6446,TRAVIS,78746,5123292117,"BLDG 3 STE 400, 1250 S CAPITAL OF TEXAS HWY",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37408,2026-09-02,A.V.I. LLC DBA SOLAR SUNNY SIDE UP,A.V.I. LLC DBA SOLAR SUNNY SIDE UP,SAN ANTONIO TX 78217,BEXAR,78217,2103676584,2544 BOARDWALK ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
39240,2027-06-22,ABEL SOLAR,ABEL SOLAR,KATY TX 77494-6723,FORT BEND,77494,2812167724,25939 RAVENSIDE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
41796,2027-08-13,AC SOLAR & ELECTRIC LLC,AC SOLAR & ELECTRIC LLC,LAS CRUCES NM 88001-1563,OUT OF STATE,88001,5752946047,2285 BOXSTER WAY,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
31823,2027-06-03,ACCURATE ELECTRIC AND SOLAR LLC,ACCURATE ELECTRIC AND SOLAR LLC,EL PASO TX 79938-5346,EL PASO,79938,9152461194,14140 TIERRA VENADO DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35072,2027-02-25,ADAMES ELECTRIC & SOLAR LLC,ADAMES ELECTRIC & SOLAR LLC,BALCH SPRINGS TX 75180-2479,DALLAS,75180,2146363832,15000 TIMOTHY LN,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
27328,2027-07-18,ADVANCED SOLAR AND ELECTRIC LLC,ADVANCED SOLAR AND ELECTRIC LLC,CIBOLO TX 78108-3506,GUADALUPE,78108,2105561399,105 LOOP 539 W,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37216,2027-06-15,AFFORDABLE SOLAR ROOF & AIR LLC,AFFORDABLE SOLAR ROOF & AIR LLC,TOMBALL TX 77375-8293,HARRIS,77375,2815935784,22955 TOMBALL PKWY STE 11,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36596,2026-11-09,ALPHA SOLAR SOLUTIONS LLC,ALPHA SOLAR SOLUTIONS LLC,SAN ANTONIO TX 78228-1417,BEXAR,78228,2107830507,4243 E PIEDRAS DR STE 250,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36998,2027-04-14,AMERICAN DREAM SOLAR LLC,AMERICAN DREAM SOLAR LLC,CROWLEY TX 76036-4142,TARRANT,76036,4695143115,12324 TREELINE DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40308,2027-05-23,ARC SOLAR & EV SOLUTIONS,ARC SOLAR & EV SOLUTIONS,LYTLE TX 78052-3560,ATASCOSA,78052,8302752352,287 ALA BLANCA DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
26176,2027-02-22,ARIZONA SOLAR SOLUTIONS INC,ARIZONA SOLAR SOLUTIONS INC,FORT WORTH TX 76137-6933,TARRANT,76137,6824043484,"3201 NE LOOP 820, #260",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
36379,2026-09-02,ASAP SOLAR LLC,ASAP SOLAR LLC,TYLER TX 75703-6537,SMITH,75703,9037477727,13026 KALLAN AVE,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35675,2027-01-23,"ASTRAWATT SOLAR, LLC","ASTRAWATT SOLAR, LLC",WEBSTER TX 77598-2336,HARRIS,77598,4052499099,319 IBIS ST STE A,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
40305,2027-06-08,ATOM ELECTRIC AND SOLAR,ATOM ELECTRIC AND SOLAR,FORT WORTH TX 76111-1805,TARRANT,76111,4699964181,2523 BRUCE ST,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37831,2027-02-23,ATX SOLAR LLC,ATX SOLAR LLC,HUTTO TX 78634-2513,WILLIAMSON,78634,5128039652,3333 COUNTY ROAD 119 STE 111,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
35834,2027-03-16,AWAKE SOLAR LLC,AWAKE SOLAR LLC,HOUSTON TX 77085,HARRIS,77085,7139040191,6911 BRASADA DR,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
37167,2027-06-03,AXIA SOLAR CORP,AXIA SOLAR CORP,IRVINE CA 92618-5021,OUT OF STATE,92618,8312966626,300 SPECTRUM CENTER DR NO 500,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
33639,2027-05-23,AXIS SOLAR LLC,AXIS SOLAR LLC,AUSTIN TX 78704,TRAVIS,78704,5125014084,"3601 S CONGRESS AVE, G300",explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
25739,2027-10-03,AXIUM SOLAR INC,AXIUM SOLAR INC,MCKINNEY TX 75071,COLLIN,75071,9726338680,3499 FM 1461,explicit_solar_or_pv,100,"Find official domain, then audit careers pages for detailed solar jobs."
