area,metro,reason
12100,"Atlantic City-Hammonton, NJ",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
14460,"Boston-Cambridge-Newton, MA-NH",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
16740,"Charlotte-Concord-Gastonia, NC-SC",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
19100,"Dallas-Fort Worth-Arlington, TX",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
19660,"Deltona-Daytona Beach-Ormond Beach, FL",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
19820,"Detroit-Warren-Dearborn, MI",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
23420,"Fresno, CA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
26420,"Houston-Pasadena-The Woodlands, TX",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
26900,"Indianapolis-Carmel-Greenwood, IN",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
27980,"Kahului-Wailuku, HI",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
28140,"Kansas City, MO-KS",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
31080,"Los Angeles-Long Beach-Anaheim, CA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
35620,"New York-Newark-Jersey City, NY-NJ",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
39300,"Providence-Warwick, RI-MA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
40900,"Sacramento-Roseville-Folsom, CA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
41860,"San Francisco-Oakland-Fremont, CA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
41940,"San Jose-Sunnyvale-Santa Clara, CA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
42660,"Seattle-Tacoma-Bellevue, WA",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",BLS metro does not match a single HUD FMR area; excluded rather than assigning a partial-area rent.
